pos,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
71,675000,5,2.5,3200,6455,2,0,0,3,9,3200,0,2009,98065,3290,7924
72,311000,4,2.5,2090,11645,1,0,0,3,7,1200,890,1962,98168,1450,9481
73,605000,3,2.5,2010,3667,2,0,0,3,9,2010,0,2008,98027,2350,3600
74,430000,3,2.5,2670,12806,2,0,0,3,9,2670,0,2010,98038,3010,7231
75,1750000,4,2.75,3560,8975,2,0,0,3,10,3560,0,2014,98004,3440,12825
76,419000,3,1.75,2140,15030,1,0,0,4,7,1570,570,1958,98166,2170,15030
77,225000,2,1,1040,11500,1,0,0,5,7,1040,0,1947,98003,1300,11954
78,269000,2,1.5,1010,6000,1,0,0,4,7,1010,0,1923,98178,1290,6000
79,346100,2,1.75,1150,698,2,0,0,3,7,1150,0,2013,98027,1150,757
80,355000,3,2.25,1280,959,3,0,0,3,8,1280,0,2005,98103,1130,1126
81,410000,3,2,1410,8088,1,0,0,3,7,1410,0,1987,98034,1770,7401
82,340000,3,1,1710,10190,1,0,0,3,6,1310,400,1949,98168,1200,6251
83,367000,4,2.5,2350,8182,2,0,0,3,8,2350,0,1997,98042,2330,7000
84,857500,4,2.75,2960,5040,2,0,3,3,9,2210,750,1952,98116,2270,5500
85,475000,5,2.5,2340,7200,1,0,0,3,7,1300,1040,1975,98034,1930,7221
86,525000,5,3.25,2480,10277,2,0,0,5,8,1640,840,1993,98155,2270,10277
87,858000,4,3.5,4370,422967,1,0,2,4,10,2580,1790,1978,98022,3260,422967
88,318000,3,2.25,1690,12662,1,0,0,5,7,1090,600,1982,98178,1950,9642
89,194000,3,1.5,1010,5000,1,0,0,3,6,1010,0,1943,98178,980,5000
90,630000,4,1.75,1770,12278,1,0,0,3,7,1350,420,1937,98115,1670,9336
91,440000,5,2,1430,5600,1.5,0,0,3,6,1430,0,1947,98118,1860,5980
92,400000,4,1.5,1390,7200,1,0,0,3,7,1140,250,1965,98133,1630,7702
93,870000,4,2.5,2650,12001,2,0,0,4,9,2650,0,1984,98006,2880,14054
94,430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,98065,1970,3748
95,375000,3,2.5,1580,5725,2,0,0,3,7,1580,0,2004,98072,1510,5725
96,195000,3,2,1230,8235,1.5,0,0,3,6,1230,0,1959,98168,1080,10281
97,700000,3,2.5,2030,8398,2,0,0,4,9,2030,0,1975,98008,2450,8104
98,743700,4,2.5,2610,33206,2,0,0,3,10,2610,0,1988,98053,2870,28295
99,360000,3,1,1660,9600,1,0,0,3,7,1660,0,1963,98034,2020,9600
100,480000,4,1.75,1840,9250,1,0,0,4,7,980,860,1956,98133,1520,9250
101,764000,4,2.5,2790,7938,2,0,0,3,9,2790,0,1997,98074,2780,7779
102,310000,5,2.25,2600,9600,1,0,2,4,8,1810,790,1969,98023,2070,9660
103,229000,3,1,1020,8100,1,0,0,3,7,1020,0,1954,98198,1020,8100
104,315000,2,1,840,5087,1,0,0,3,7,840,0,1925,98118,1590,5087
105,355000,3,1.75,1960,7705,1,0,0,4,7,980,980,1950,98106,1380,4349
106,494900,3,2.5,2040,2500,2,0,0,3,7,1470,570,2008,98126,1410,2500
107,583000,3,1.75,1930,10183,1,0,0,4,8,1480,450,1975,98006,2320,10000
108,273000,3,2.25,1230,11601,1,0,0,4,7,910,320,1992,98022,1820,8465
109,225800,4,1,1100,7110,1,0,0,4,7,880,220,1907,98030,1150,7110
110,299900,3,2.5,2720,6014,2,0,0,3,7,2720,0,2002,98092,2760,6537
111,937500,3,1,1320,8500,1,0,0,4,7,1320,0,1954,98039,2790,10800
112,598555,3,2.5,3040,7880,2,0,0,3,9,3040,0,2004,98056,3040,7880
113,440000,2,1.5,1080,6760,1,0,2,3,6,1080,0,1923,98117,2080,5800
114,1080000,3,2.5,3720,11610,2,0,0,3,11,3720,0,1982,98074,3530,11877
115,641000,5,2.75,3710,8674,2,0,0,3,9,3710,0,1996,98056,3250,8678
116,387500,4,1.75,2400,9900,1,0,0,3,7,1250,1150,1957,98166,1960,9900
117,249900,3,1,1100,5000,1,0,0,3,7,1100,0,1960,98118,1020,5000
118,220000,3,1,1000,223462,1,0,2,4,6,1000,0,1933,98022,1710,105850
119,658500,4,2.25,1900,5000,1,0,0,3,7,1400,500,1963,98199,1710,4994
120,290000,2,1.75,1560,7575,1,0,0,3,8,1560,0,2002,98030,2050,9000
121,255000,4,2.5,2163,5882,2,0,0,3,7,2163,0,2006,98001,1760,9600
122,425000,3,2.75,3610,107386,1.5,1,3,3,8,3130,480,1918,98023,2630,42126
123,360000,5,2.5,2880,6902,1,0,0,3,8,1680,1200,1976,98058,2080,5586
124,744500,5,2.5,2700,16570,1,0,0,4,8,1750,950,1967,98005,2570,11840
125,716000,3,2.5,2270,7866,1,0,0,4,10,2270,0,1988,98029,2580,8132
126,3570000,5,4.5,4850,10584,2,1,4,3,10,3540,1310,2007,98008,3470,18270
127,410000,3,2.5,1420,1269,3,0,0,3,7,1420,0,2007,98103,1420,1300
128,615000,3,1.75,2360,7291,1,0,0,4,8,1360,1000,1948,98136,1860,5499
129,219000,2,2,1310,2550,2,0,0,3,6,1310,0,2004,98038,1310,2550
130,778000,3,2,1840,6000,2,0,0,5,7,1720,120,1946,98033,1390,6000
131,280000,3,1,1350,7553,1.5,0,0,3,6,1350,0,1914,98118,1380,7470
132,257500,3,2,1300,9334,1,0,0,5,7,1300,0,1981,98178,2210,9636
133,240500,3,1.75,1460,10584,1,0,0,3,7,990,470,1997,98168,1220,12012
134,1400000,5,3,3850,14990,1,0,0,4,9,2290,1560,1964,98004,3010,15001
135,543500,3,2.25,1270,2790,1,0,0,3,7,990,280,1970,98199,1920,4000
136,415000,3,1,1560,4500,1.5,0,0,3,7,1560,0,1903,98122,1660,4500
137,275000,3,1,1290,11250,1,0,0,3,7,1290,0,1956,98166,1410,11196
138,403000,3,2.5,1700,4125,2,0,0,3,7,1700,0,2004,98065,1970,4105
139,732000,3,3.75,2670,6517,2.5,0,4,4,8,2020,650,1977,98126,2010,6073
140,1390000,3,3,2480,5500,2,0,3,3,10,1730,750,1950,98199,2950,5670
141,356000,4,2,1600,12500,1,0,0,5,7,1600,0,1938,98166,1260,8306
142,775000,4,2.5,2070,8473,1,0,0,4,8,1250,820,1976,98033,2070,9499
143,645000,4,2.5,3160,11380,2,0,0,3,9,3160,0,1983,98074,2970,10385
144,724950,4,2.5,2860,3638,1.5,0,2,5,7,1720,1140,1924,98107,1760,3880
145,460000,3,2,1200,7320,1,0,0,3,7,1200,0,1955,98115,1750,8220
146,515000,3,2.5,1540,6100,1,0,0,3,6,770,770,1944,98126,1710,5950
147,1480000,5,4,4770,31570,2,0,0,3,12,4770,0,1990,98006,4520,32070
148,435000,2,1,800,5000,1,0,0,3,7,800,0,1906,98107,1410,5000
149,275000,4,2.25,2670,10050,1,0,0,4,8,1420,1250,1962,98032,2190,10050
150,554000,2,2,1870,5580,1,0,0,3,8,1870,0,2004,98053,1670,4500
151,295000,2,1,1170,10621,1,0,0,3,7,1170,0,1963,98045,1340,9832
152,440000,4,1.75,2180,10200,1,0,2,3,8,2000,180,1966,98028,2590,10445
153,496800,4,2.25,1850,2340,2.5,0,0,3,8,1850,0,2014,98126,1850,2340
154,732350,4,2.5,2270,7665,2,0,0,3,9,2270,0,1986,98052,2450,8706
155,353000,2,1,860,8511,1,0,0,3,7,860,0,1949,98125,1554,8499
156,450000,3,2.25,1740,9488,1,0,0,4,8,1180,560,1977,98056,1880,8615
157,150000,2,1,830,4045,1,0,0,3,6,830,0,1943,98106,1100,4116
158,352500,2,2.5,980,1010,3,0,0,3,8,980,0,2008,98117,980,1023
159,445000,2,1.5,1510,2001,2,0,0,4,8,1510,0,1985,98007,1510,2055
160,447000,2,1,1320,8380,1,0,0,3,7,1320,0,1953,98177,1290,8025
161,257500,3,1,1690,13825,1,0,0,3,7,1210,480,1955,98148,1190,9450
162,465000,4,1.75,1810,21650,2,0,0,4,7,1810,0,1961,98077,2700,29680
163,350000,2,1,1220,28703,1,0,0,4,7,1220,0,1953,98056,2740,6720
164,629000,3,1.75,1460,12367,2,1,4,4,8,1120,340,1970,98023,1970,18893
165,468500,3,2.5,1350,1186,2,0,0,3,8,1120,230,2007,98117,1500,1605
166,760000,4,3,2840,13554,1,0,2,4,9,1990,850,1974,98034,2840,16940
167,285000,3,1.5,1480,7117,1,0,0,3,7,1170,310,1960,98028,2230,14775
168,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,98003,1280,8850
169,461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,98056,1900,7349
170,235000,3,1,1430,7599,1.5,0,0,4,6,1010,420,1930,98168,1290,10320
171,1950000,4,2.5,3440,14554,2,1,4,3,8,2170,1270,2012,98155,3170,11810
172,669000,3,1,1560,4500,1.5,0,0,5,7,1560,0,1915,98112,1530,4500
173,382000,2,1,870,10492,1,0,0,3,7,870,0,1937,98106,1300,7987
174,355000,4,2.5,1890,7867,2,0,0,3,8,1890,0,1996,98038,2250,7867
175,527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,98006,2820,9375
176,489000,3,2.5,2260,19821,2,0,0,3,9,2260,0,1994,98058,2750,22718
177,626500,3,1.75,1610,3210,1,0,0,5,7,910,700,1928,98103,1420,3210
178,539500,4,3.5,2710,5722,2,0,0,4,8,2040,670,1997,98108,2500,5722
179,217000,3,1,1000,12000,1,0,0,3,7,1000,0,1959,98023,1490,14940
180,360000,2,2.5,1233,1244,2,0,0,3,7,963,270,2007,98136,1230,1300
181,406000,4,1,1580,8475,1.5,0,2,4,7,1580,0,1928,98178,1700,5650
182,677000,3,2,2000,3207,1,0,0,4,7,1100,900,1916,98103,1460,3200
183,311000,2,1,860,3300,1,0,0,5,6,860,0,1903,98118,1380,4400
184,290000,3,2.5,2020,4861,2,0,0,3,7,2020,0,2005,98058,2170,4600
185,389000,6,4.5,3560,14010,2,0,0,3,7,3560,0,1989,98002,1710,11116
186,285000,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,98001,2310,9176
187,370000,4,2.5,2570,7753,2,0,0,3,8,2570,0,1987,98058,2140,7615
188,325000,2,1,1080,5000,1,0,0,3,7,1080,0,1954,98106,1010,5000
189,2100000,4,1.75,3550,19865,2,0,0,3,9,3550,0,1962,98039,3000,19862
190,610000,4,2.5,2980,5896,2,0,0,3,8,2980,0,2001,98053,2900,5712
191,440000,4,2.5,2300,10880,1,0,0,4,7,1190,1110,1961,98028,1960,10400
192,750000,2,2.5,2630,7957,2,0,0,3,8,2630,0,2003,98053,2305,7220
193,857326,3,3.5,3940,11632,2,0,0,3,10,3940,0,2014,98166,2015,11632
194,178000,3,1,1100,5734,1,0,0,4,7,1100,0,1955,98030,1770,6050
195,605000,3,1.75,2100,5058,1,0,2,3,7,1340,760,1941,98126,1640,5000
196,485000,3,1,1020,9835,1,0,0,5,7,1020,0,1955,98006,1210,9622
197,290000,3,2.5,1420,3542,2,0,0,3,8,1310,110,2007,98133,1180,1622
198,405000,2,1.75,1710,4234,2,0,0,3,7,1330,380,1920,98136,1530,4556
199,345000,2,1,770,3008,1,0,0,4,5,770,0,1917,98116,1550,4563
200,385000,4,2,1820,7102,1,0,0,3,7,1220,600,1950,98155,1650,8184
201,535000,5,2.75,2620,6389,2,0,0,3,9,2620,0,2007,98028,2620,4504
202,432500,3,3,2500,6000,2,0,0,3,8,2500,0,2012,98058,2130,6000
203,210000,2,1.75,1440,5680,1,0,0,4,8,1440,0,1978,98198,1320,3547
204,308000,4,2.5,1960,5642,2,0,0,3,7,1960,0,1998,98092,1870,5250
205,760000,4,3.25,2690,3995,2,0,0,3,9,2060,630,2014,98136,1810,4590
206,602500,2,2.5,3090,47044,1,0,0,4,10,2250,840,1979,98058,1860,62829
207,675000,2,1,930,36478,1,0,2,3,6,930,0,1951,98006,2800,11141
208,772000,4,2.5,2500,8680,1,0,0,4,7,1250,1250,1958,98004,2140,8680
209,455000,3,1.75,890,3800,1.5,0,0,3,7,750,140,1926,98115,1280,3800
210,300000,2,1,820,3844,1,0,0,4,6,820,0,1916,98133,1520,3844
211,613000,4,2,1550,4815,1.5,0,0,3,7,1550,0,1909,98103,1680,4013
212,640000,4,3,2940,5763,1,0,0,5,8,1640,1300,1955,98108,2020,7320
213,215000,4,1.5,1860,5040,1.5,0,0,5,8,1860,0,1920,98022,1680,5800
214,235000,2,2.25,1660,2748,2,0,0,3,7,1660,0,1995,98055,1620,3167
215,635000,4,2.25,2240,5000,2,0,0,3,8,2240,0,2013,98074,1760,7500
216,825000,3,2.75,3040,24192,2,0,0,4,10,3040,0,1987,98034,2770,5728
217,247500,4,2,1760,8400,1,0,0,3,7,1060,700,1962,98003,1280,8415
218,689000,2,1.75,2330,10143,1,0,2,4,7,1220,1110,1953,98146,2560,9750
219,307150,3,1.5,1480,6752,1,0,0,4,7,1480,0,1959,98056,1450,8023
220,589900,4,4.5,3870,35889,2,0,0,3,10,2530,1340,2001,98027,3020,35366
221,720000,4,2.5,2870,12648,2,0,0,4,9,2870,0,1986,98029,2560,12648
222,420000,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,98008,2070,8250
223,449000,3,2.5,1690,3827,2,0,0,3,7,1690,0,2005,98053,1690,3129
224,420000,3,1.75,1444,249126,1.5,0,0,3,7,1444,0,2008,98070,1760,224770
225,369000,3,2,1550,8509,1,0,0,3,7,1150,400,1959,98106,1840,7620
226,246000,3,1,990,9145,1.5,0,0,4,6,990,0,1939,98146,1640,8320
227,415000,3,1.5,1360,1795,2,0,0,3,7,1360,0,1945,98199,1580,1795
228,970500,3,2.75,2470,10125,2,0,0,3,8,2470,0,1960,98040,2290,10125
229,620000,2,2.25,2910,6110,2,0,2,4,9,2910,0,1985,98136,2090,5763
230,368000,2,2,930,1662,1,0,0,3,7,670,260,2002,98199,1780,2343
231,445000,4,2.25,2130,7200,2,0,0,3,7,2130,0,1972,98034,1990,7200
232,689000,4,2.75,3250,10000,2,0,0,3,9,3250,0,2014,98155,1620,10089
233,535000,2,1,980,4120,1,0,0,3,7,830,150,1950,98115,1760,4120
234,605000,3,3.25,2200,2400,2,0,0,3,8,1740,460,1988,98119,2200,3600
235,527000,4,2.25,2380,5250,1,0,0,4,7,1410,970,1961,98008,2150,8560
236,294900,3,2.5,1860,5025,2,0,0,3,8,1860,0,2010,98038,2000,5550
237,190000,3,1,1090,8520,1,0,0,3,7,1090,0,1967,98003,1190,8520
238,339950,3,2.5,2390,34041,1,0,0,3,8,1840,550,1984,98042,2460,35686
239,950000,3,3.25,3330,15093,2.5,0,0,3,9,3330,0,1988,98040,4340,20031
240,440000,3,2.25,1680,57063,2,0,0,4,8,1680,0,1989,98045,1910,57063
241,168000,3,1,1200,7210,1,0,0,4,6,1200,0,1977,98030,1200,7650
242,850000,2,2.75,2700,9854,1,0,0,3,9,2700,0,2012,98053,1440,4168
243,301000,3,1,1060,9241,1,0,0,4,7,1060,0,1956,98133,1900,6484
244,1260000,4,2.5,2880,9003,2,0,0,3,10,2880,0,2008,98033,2640,8126
245,440000,3,1.75,1950,19747,1,0,0,3,7,1150,800,1979,98072,2560,9674
246,865000,4,2,2750,5527,2,0,0,3,8,2130,620,1901,98119,1290,1764
247,465000,3,3.25,1510,1850,2,0,2,3,8,1230,280,2001,98107,1540,1840
248,397000,2,1,1030,12350,1.5,0,0,3,7,1030,0,1942,98115,1790,6900
249,477500,3,2,1860,5146,2,0,0,3,8,1860,0,1991,98029,1950,5146
250,870000,4,3,4500,21780,2,0,2,3,9,3040,1460,1980,98040,3540,20473
251,951250,5,3,2710,8227,1,0,2,3,8,1910,800,1953,98199,2060,5400
252,365000,3,2.25,1800,9010,1,0,0,3,7,1300,500,1975,98155,1950,10240
253,232900,3,1.5,910,5120,1,0,0,3,6,910,0,1973,98106,1410,5132
254,347500,5,3,2230,6551,1,0,0,3,7,1330,900,2014,98168,2230,9476
255,299950,3,1,910,8000,1,0,0,4,6,740,170,1950,98177,2090,9007
256,1200000,4,2.5,4280,12796,2,0,0,3,11,3400,880,1999,98006,3520,9593
257,598992,5,3.5,3440,6037,2,0,0,3,9,3440,0,2014,98045,3270,6037
258,474950,4,1.75,2030,15400,1,0,1,3,9,1130,900,1975,98166,2040,12425
259,110000,2,1,600,6120,1,0,0,3,5,600,0,1943,98168,1060,6120
260,1610000,4,2.75,5470,18200,2,1,4,3,11,3730,1740,1992,98118,3620,15100
261,327000,2,2,1490,1627,2,0,0,3,8,1190,300,2009,98126,1400,1498
262,423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,98108,1500,6480
263,469500,5,2.5,2970,24759,1,0,0,4,8,1670,1300,1969,98031,2100,21803
264,518000,3,1,1270,6612,1.5,0,3,3,7,1270,0,1927,98118,2100,7680
265,555000,3,3,2410,12183,2,0,0,3,9,2410,0,1988,98011,2540,9979
266,289950,3,2.5,1760,8584,1.5,0,0,5,7,1760,0,1937,98148,2160,8584
267,468000,2,1.75,1250,7029,1,0,0,4,7,1250,0,1986,98033,1680,8470
268,325000,4,2.75,1960,8937,1,0,0,5,7,980,980,1954,98188,1480,10016
269,302000,4,1.75,2020,7865,1,0,0,4,7,1010,1010,1963,98059,1650,7865
270,525000,3,2.5,2340,35021,1,0,0,3,9,2340,0,1986,98038,2630,35190
271,283000,3,1,1740,5247,1,0,0,3,7,1270,470,1947,98168,1070,5636
272,633634,4,3.5,2960,6000,2,0,0,3,9,2960,0,2014,98065,2960,6000
273,415000,3,1.75,1640,6435,1,0,0,3,7,1190,450,1972,98034,1770,6930
274,251200,4,1.5,1310,8250,1,0,0,3,7,1060,250,1953,98148,1260,8255
275,245000,3,2,1190,4072,1.5,0,0,5,6,1190,0,1907,98118,1680,5850
276,1180000,5,2.75,2560,5618,1.5,0,2,3,8,2220,340,1923,98109,2740,4000
277,553000,2,2,1400,1512,2,0,0,3,8,940,460,2006,98107,1400,3500
278,375000,3,3.25,1370,1227,3,0,0,3,8,1370,0,2007,98103,1370,1236
279,435000,4,1.75,2520,7200,1,0,2,5,7,1260,1260,1955,98056,2360,7300
280,376000,4,2.75,2420,5773,2,0,0,3,8,2420,0,2005,98038,2420,6200
281,375000,3,1.75,960,8106,1,0,0,3,7,960,0,1962,98052,1650,8035
282,730000,4,2.75,3440,8150,2,0,0,3,10,3440,0,2014,98056,2560,8315
283,375000,4,2.5,2210,9427,2,0,0,3,7,2210,0,1999,98148,1770,8770
284,402300,3,1.75,1480,4050,1,0,0,3,7,870,610,1926,98115,1350,4500
285,550500,3,1.75,2540,8280,1,0,0,3,7,1270,1270,1949,98177,1950,8280
286,475000,3,1,1380,4635,1,0,0,4,6,1380,0,1919,98144,1790,4635
287,294000,2,2.5,1380,889,2,0,0,3,7,1140,240,2012,98126,1580,1397
288,760000,5,1.5,3050,2992,1.5,0,0,4,8,1920,1130,1931,98112,1200,1209
289,900000,5,6,7120,40806,2,0,4,3,12,5480,1640,2007,98006,3440,36859
290,855000,4,2.25,2480,36974,2,0,0,4,9,2480,0,1973,98005,3160,35070
291,560000,3,2.25,2070,15002,1.5,0,0,3,8,2070,0,1955,98155,2070,15002
292,190000,1,0.75,780,77603,1,0,0,1,5,780,0,1945,98058,1750,30847
293,675000,4,2.5,2390,5249,2,0,0,3,9,2390,0,2006,98074,2600,5342
294,317500,2,1.5,1220,8409,1,0,0,4,6,1220,0,1948,98155,1130,8409
295,245000,5,1.5,2000,8100,1.5,0,0,3,6,2000,0,1946,98168,960,9239
296,510000,3,2,1850,9600,1,0,0,3,7,1850,0,1968,98011,1770,9600
297,212625,2,1,960,5000,1,0,0,3,6,960,0,1951,98126,930,5000
298,494000,4,2.25,1790,42000,1,0,0,3,7,1170,620,1983,98045,2060,50094
299,285000,3,1.75,1930,7200,1.5,0,0,3,6,1930,0,1929,98065,1350,9000
300,349950,3,2.5,2390,6441,2,0,0,3,7,2390,0,2002,98038,2180,7346
301,480000,3,1.75,1600,8400,1,0,0,5,8,1600,0,1963,98006,2210,8400
302,260000,3,1.5,1750,7000,2,0,0,3,8,1750,0,1983,98023,1840,9305
303,480000,5,2.5,2040,9597,1,0,0,4,7,1240,800,1963,98052,1800,8553
304,1230000,4,2.25,3070,16028,1,0,3,3,9,1870,1200,1976,98040,3070,19822
305,550000,5,2.5,2780,9272,2,0,0,3,8,2780,0,2014,98126,1150,8460
306,200000,4,1,1350,11507,1,0,0,3,7,1350,0,1966,98055,1320,25675
307,690000,5,3.5,2720,7598,2,0,0,3,8,1860,860,1993,98115,2430,7728
308,490000,4,2.25,2020,4960,2,0,0,3,7,1710,310,1938,98117,1590,4550
309,415000,3,1.75,1910,12596,1,0,0,3,7,1340,570,1977,98072,1550,13310
310,464500,5,1.5,2940,13425,1,0,0,3,8,1470,1470,1955,98155,1580,8200
311,408000,2,1,810,7440,1,0,0,5,6,810,0,1948,98133,830,7500
312,240000,3,1.75,1570,8750,1,0,0,3,7,1570,0,1960,98148,1890,8825
313,568000,3,1.75,1930,213008,1,0,2,3,7,1300,630,1980,98053,2860,208652
314,319950,2,1,1240,5500,1.5,0,0,3,6,1240,0,1921,98118,1520,5500
315,445000,4,2.5,2990,6383,2,0,0,3,7,2990,0,2003,98038,2640,6454
316,460000,3,2,1600,7350,1,0,0,4,7,1600,0,1979,98052,1600,7200
317,396000,4,1.75,1970,12409,1,0,0,4,7,1220,750,1968,98028,1690,10720
318,751000,4,2.5,3110,6142,2,0,0,3,9,3110,0,2004,98052,3200,6826
