Bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
3,1,[893-1093],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1950,98122,[1152-1402],[3851-4050],[400000-500000)
3,1.75,[1697-1897],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[614-764],1986,98198,[1403-1653],[7251-7650],[300000-400000)
3,2.25,[1697-1897],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[463-613],1975,98155,[1905-2155],[10051-10450],[300000-400000)
4,3.25,[3305-3505],[21510-37540],2,0,Very Poor,Good,Good Quality And Desgin,[2290-2539],[916-1066],1992,98027,[2407-2657],[13651-14050],[500000-600000)
3,1,[1094-1294],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1952,98118,[1403-1653],[6451-6850],[300000-400000)
5,2.5,[2702-2902],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2006,98027,[3160-3410],[5651-6050],[800000-900000)
4,2.5,[3506-3706],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3540-3789],NoBasement,2003,98029,[3160-3410],[6851-7250],[700000-800000)
3,1,[893-1093],[8781-9531],1,0,Very Poor,Good,Bad Quality And Design,[790-1039],NoBasement,1900,98010,[1403-1653],[9651-10050],[200000-300000)
3,1.75,[1496-1696],[8030-8780],1.5,1,Excellent,Good,Bad Quality And Design,[1540-1789],NoBasement,1928,98040,[2658-2908],[13651-14050],[1200000-1300000)
3,2.5,[1697-1897],[1270-2020],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2004,98059,[1654-1904],[1851-2050],[200000-300000)
3,1.75,[1295-1495],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1967,98034,[1403-1653],[7651-8050],[300000-400000)
4,2.75,[3506-3706],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[3540-3789],NoBasement,2014,98059,[3411-3661],[9251-9650],[600000-700000)
5,1,[2300-2500],[4275-5025],1.5,0,Very Poor,OK,Average Quality And Design,[1540-1789],[765-915],1919,98122,[1905-2155],[4051-4450],[500000-600000)
3,2.5,[2300-2500],[8781-9531],2,0,OK,OK,Good Quality And Desgin,[2290-2539],NoBasement,2005,98001,[2909-3159],[8851-9250],[400000-500000)
4,3.5,[4310-4510],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],>= 1671,1962,98039,[1905-2155],[13251-13650],[1800000-1900000)
3,3.25,[1295-1495],[1270-2020],2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[161-311],2008,98107,[1152-1402],[1251-1450],[400000-500000)
6,4.25,>=4511,[11871-14750],2,0,Good,OK,Good Quality And Desgin,[4040-4289],>= 1671,2013,98006,>=3913,[13651-14050],[1700000-1800000)
3,2.5,[1295-1495],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[161-311],2008,98122,[1403-1653],[851-1050],[500000-600000)
3,1.75,[1496-1696],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1988,98003,[1403-1653],[8051-8450],[200000-300000)
4,2,[2300-2500],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[2290-2539],NoBasement,2009,98146,[1152-1402],[13251-13650],[300000-400000)
3,2.5,[1898-2098],[2021-3523],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1996,98033,[2407-2657],[3851-4050],[500000-600000)
3,2.5,[1094-1294],<=1269,2,0,Very Poor,OK,Average Quality And Design,[1040-1289],[161-311],2008,98118,[1403-1653],[7651-8050],[200000-300000)
2,1,[893-1093],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],1981,98055,[1152-1402],[8451-8850],[100000-200000)
4,3.5,[4310-4510],[14751-21509],2,0,Very Poor,OK,Very High Quality and Design,>=4290,NoBasement,2003,98004,[2909-3159],[13651-14050],[2300000-2400000)
4,2.25,[2099-2299],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[916-1066],1959,98155,[1654-1904],[8051-8450],[400000-500000)
3,2.5,[2300-2500],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2014,98038,[2156-2406],[4051-4450],[300000-400000)
2,1.75,[893-1093],[6528-7278],2,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1984,98034,[1654-1904],[7251-7650],[300000-400000)
2,1,[692-892],[10283-11870],1,0,Very Poor,Excellent,Bad Quality And Design,[540-789],NoBasement,1951,98133,[1654-1904],[8051-8450],[200000-300000)
3,1.75,[1094-1294],[10283-11870],1,0,Very Poor,Poor,Average Quality And Design,[1040-1289],<=160,1952,98106,[1403-1653],[8851-9250],[100000-200000)
3,1.75,[1496-1696],[4275-5025],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[161-311],1977,98042,[1152-1402],[4851-5250],[200000-300000)
4,2.5,[1898-2098],[5777-6527],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,2002,98198,[1905-2155],[6451-6850],[200000-300000)
2,2.5,[1295-1495],[1270-2020],2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],<=160,2006,98122,[1152-1402],[1451-1650],[500000-600000)
4,1.75,[1898-2098],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1986,98030,[1905-2155],[7251-7650],[200000-300000)
4,2.5,[1898-2098],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2012,98092,[1654-1904],[4451-4850],[200000-300000)
4,1.5,[1295-1495],[4275-5025],1.5,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],NoBasement,1928,98103,[1403-1653],[4851-5250],[600000-700000)
3,1.75,[1496-1696],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[463-613],1927,98117,[1403-1653],[3851-4050],[500000-600000)
2,1,[893-1093],[10283-11870],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1932,98028,[1654-1904],[12451-12850],[200000-300000)
3,1,[1094-1294],[8030-8780],1,0,Very Poor,Excellent,Average Quality And Design,[1040-1289],NoBasement,1967,98022,[901-1151],[8051-8450],[200000-300000)
3,1.5,[2099-2299],[5777-6527],1,0,Poor,OK,Good Quality And Desgin,[1040-1289],[916-1066],1968,98136,[1905-2155],[6851-7250],[500000-600000)
3,2.5,[2702-2902],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2004,98011,[2407-2657],[4851-5250],[500000-600000)
4,1.5,[1697-1897],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1953,98125,[1403-1653],[6051-6450],[300000-400000)
2,2,[1295-1495],[2021-3523],2,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,2005,98038,[1152-1402],[2651-2850],[200000-300000)
5,3.75,>=4511,[5777-6527],2,0,OK,OK,Good Quality And Desgin,[3540-3789],>= 1671,2006,98027,>=3913,[5651-6050],[900000-1000000)
3,1.5,[1094-1294],[5026-5776],1,0,Very Poor,Excellent,Bad Quality And Design,[1040-1289],NoBasement,1969,98042,[901-1151],[4851-5250],[200000-300000)
4,2.5,[2099-2299],[6528-7278],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1998,98030,[1905-2155],[6851-7250],[200000-300000)
4,2.75,[2501-2701],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2013,98045,[2658-2908],[6451-6850],[400000-500000)
4,3.5,[3506-3706],[2021-3523],2.5,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],[916-1066],1930,98112,[1152-1402],[1251-1450],[700000-800000)
3,1,[893-1093],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1954,98146,[1152-1402],[8851-9250],[100000-200000)
3,2,[1697-1897],[6528-7278],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],NoBasement,1990,98031,[2407-2657],[6851-7250],[300000-400000)
4,1,[1496-1696],[6528-7278],1,0,Very Poor,Good,Bad Quality And Design,[1540-1789],NoBasement,1959,98008,[1152-1402],[7251-7650],[300000-400000)
3,1.75,[2099-2299],[10283-11870],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[765-915],1956,98177,[2156-2406],[8051-8450],[600000-700000)
3,1.75,[2300-2500],[8030-8780],1,0,Very Poor,Excellent,Good Quality And Desgin,[1290-1539],[1067-1217],1940,98199,[2156-2406],[5651-6050],[800000-900000)
5,1,[2099-2299],[14751-21509],1.5,0,Good,Good,Average Quality And Design,[1540-1789],[463-613],1923,98136,[2658-2908],[13651-14050],[600000-700000)
2,1,[1697-1897],[5026-5776],1.5,0,Very Poor,Good,Average Quality And Design,[790-1039],[765-915],1943,98178,[1654-1904],[7251-7650],[200000-300000)
3,1.75,[1295-1495],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1967,98034,[1403-1653],[7251-7650],[300000-400000)
3,2.5,[1898-2098],[10283-11870],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[463-613],1979,98001,[1654-1904],[7651-8050],[200000-300000)
3,1.75,[1697-1897],[21510-37540],1,0,Very Poor,Good,Bad Quality And Design,[1790-2039],NoBasement,1967,98027,[2407-2657],[13651-14050],[300000-400000)
2,2.25,[1496-1696],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1995,98055,[1403-1653],[3051-3250],[200000-300000)
3,2.5,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],<=160,2006,98136,[1152-1402],[851-1050],[300000-400000)
3,1.75,[1496-1696],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1959,98002,[1403-1653],[7651-8050],[200000-300000)
4,2.5,[2903-3103],[9532-10282],1,0,OK,OK,Good Quality And Desgin,[1290-1539],[1369-1519],1979,98006,[2658-2908],[9651-10050],[800000-900000)
3,1,[1697-1897],[11871-14750],2,0,OK,OK,Good Quality And Desgin,[1540-1789],NoBasement,2005,98032,[1654-1904],[8851-9250],[200000-300000)
2,1.5,[893-1093],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[790-1039],NoBasement,2008,98103,[901-1151],[851-1050],[300000-400000)
4,2.5,[2702-2902],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1998,98031,[2658-2908],[6051-6450],[300000-400000)
4,2.5,[2903-3103],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,1978,98042,[1654-1904],[9251-9650],[400000-500000)
5,3.5,[3908-4108],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[1369-1519],1996,98056,[2407-2657],[13651-14050],[600000-700000)
3,2.5,[1496-1696],[1270-2020],3,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,2008,98102,[1654-1904],[1851-2050],[900000-1000000)
5,2.25,[2903-3103],[37541-54862],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[1218-1368],1977,98077,[2407-2657],[13651-14050],[500000-600000)
3,2.5,[3104-3304],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[614-764],2001,98052,[2156-2406],[9651-10050],[900000-1000000)
3,2.5,[2300-2500],[8030-8780],2,0,Very Poor,Good,Good Quality And Desgin,[2290-2539],NoBasement,1986,98058,[2156-2406],[8451-8850],[300000-400000)
3,1,[1295-1495],[10283-11870],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1952,98004,[1905-2155],[10051-10450],[800000-900000)
4,1,[1295-1495],[21510-37540],1.5,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1926,98168,[1403-1653],[10451-10850],[200000-300000)
4,2.5,[1898-2098],[14751-21509],2,0,Very Poor,OK,Bad Quality And Design,[2040-2289],NoBasement,1993,98001,[1403-1653],[7651-8050],[200000-300000)
1,1,[692-892],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[540-789],NoBasement,1942,98115,[901-1151],[4851-5250],[300000-400000)
2,2.25,[893-1093],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[790-1039],<=160,2006,98102,[1152-1402],[1051-1250],[500000-600000)
3,1.75,[1496-1696],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2015,98144,[1403-1653],[1851-2050],[500000-600000)
3,2.25,[1496-1696],[10283-11870],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1958,98005,[2156-2406],[10851-11250],[500000-600000)
5,2.5,[2702-2902],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[916-1066],1959,98004,[3160-3410],[13651-14050],[1100000-1200000)
3,3.5,[3707-3907],>=54863,2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],[161-311],1993,98077,[2909-3159],[13651-14050],[800000-900000)
3,1,[893-1093],[7279-8029],1,0,OK,Good,Bad Quality And Design,[1040-1289],NoBasement,1906,98177,[2156-2406],[5651-6050],[300000-400000)
4,2.75,[2903-3103],[14751-21509],2,0,Very Poor,OK,Very High Quality and Design,[2790-3039],NoBasement,1996,98075,[3160-3410],[12051-12450],[700000-800000)
