Int32,String,DateTime,Double,Int32,Double,String,String,Double,Boolean,String,String,String,String,String,Int32,String,String,String,String
15,2895600680,20140707T000000,335950,2,1.5,[692-892],[5026-5776],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],NoBasement,1951,98146,[1152-1402],[5251-5650],[300000-400000)
16,1509500380,20150128T000000,379000,4,2.5,[2501-2701],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1994,98030,[2658-2908],[10051-10450],[300000-400000)
17,91000135,20150507T000000,750000,4,1.5,[1898-2098],[3524-4274],1.5,0,OK,OK,Average Quality And Design,[1540-1789],[463-613],1920,98103,[1152-1402],[3851-4050],[700000-800000)
18,2934800025,20141216T000000,353750,4,2,[1697-1897],[7279-8029],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],[312-462],1956,98166,[1654-1904],[7651-8050],[300000-400000)
19,7140200450,20141231T000000,272000,4,2.75,[1697-1897],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[463-613],1980,98030,[1654-1904],[7251-7650],[200000-300000)
20,461001435,20140610T000000,566000,4,1.75,[2300-2500],[4275-5025],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[1067-1217],1954,98117,[2156-2406],[4851-5250],[500000-600000)
21,1822300040,20140507T000000,420000,2,1.5,[893-1093],[2021-3523],1.5,0,Very Poor,Good,Bad Quality And Design,[1040-1289],NoBasement,1904,98144,[1152-1402],[1051-1250],[400000-500000)
22,2414600195,20140721T000000,210000,3,1,[1496-1696],[8030-8780],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],[463-613],1951,98168,[1152-1402],[8451-8850],[200000-300000)
23,8562891240,20150211T000000,299950,4,2.5,[1898-2098],[3524-4274],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2003,98042,[2407-2657],[4051-4450],[200000-300000)
24,9414610320,20150116T000000,463000,4,2.5,[2501-2701],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[1218-1368],1974,98027,[2156-2406],[10451-10850],[400000-500000)
25,6791000050,20140908T000000,550000,3,2.75,[2099-2299],[11871-14750],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[765-915],1977,98075,[2156-2406],[13251-13650],[500000-600000)
26,2421069039,20150209T000000,340000,3,1.75,[1295-1495],>=54863,1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1987,98010,[2156-2406],[13651-14050],[300000-400000)
27,1471630160,20150423T000000,353000,3,2,[1094-1294],[11871-14750],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1984,98045,[1403-1653],[13651-14050],[300000-400000)
28,9264921140,20150312T000000,300000,3,2.75,[1898-2098],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[614-764],1984,98023,[2407-2657],[7651-8050],[300000-400000)
29,8637100370,20141112T000000,252000,3,2,[1295-1495],[5026-5776],2,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,1994,98055,[1152-1402],[4851-5250],[200000-300000)
30,8562700300,20140708T000000,542000,3,1.75,[893-1093],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1966,98052,[1403-1653],[7651-8050],[500000-600000)
31,3526039116,20141118T000000,549000,3,1.75,[1898-2098],[5777-6527],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],[765-915],1951,98117,[1905-2155],[6851-7250],[500000-600000)
32,8121100395,20140624T000000,425000,4,1.5,[1496-1696],[5777-6527],1.5,0,Very Poor,OK,Bad Quality And Design,[1540-1789],NoBasement,1946,98118,[1403-1653],[6051-6450],[400000-500000)
33,9113200020,20140612T000000,717000,3,2.5,[2300-2500],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2000,98052,[2407-2657],[5651-6050],[700000-800000)
34,4324210120,20140527T000000,282000,3,2.5,[1496-1696],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1994,98031,[1403-1653],[8451-8850],[200000-300000)
35,868002080,20140619T000000,899000,4,2.25,[2300-2500],[5777-6527],1,0,OK,OK,Good Quality And Desgin,[1290-1539],[916-1066],1959,98177,[3160-3410],[8451-8850],[800000-900000)
36,2887700805,20141022T000000,458950,2,1,[1496-1696],[4275-5025],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1946,98115,[1403-1653],[4051-4450],[400000-500000)
37,3705900292,20150428T000000,420000,3,2,[1697-1897],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[312-462],1989,98133,[1654-1904],[7651-8050],[400000-500000)
38,1545808560,20150403T000000,245000,3,2.5,[1496-1696],[8030-8780],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],[463-613],1996,98038,[1654-1904],[8051-8450],[200000-300000)
39,5536100020,20141215T000000,987000,3,2,[2099-2299],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1951,98004,[2156-2406],[9651-10050],[900000-1000000)
40,2895800610,20140926T000000,352800,4,2.25,[1697-1897],[2021-3523],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2014,98106,[1403-1653],[2651-2850],[300000-400000)
41,5381000072,20140514T000000,349950,5,3,[2099-2299],[9532-10282],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[765-915],2005,98188,[1403-1653],[10451-10850],[300000-400000)
42,2141200030,20140828T000000,625000,3,2.5,[1898-2098],[5777-6527],1,0,Very Poor,Excellent,Good Quality And Desgin,[1040-1289],[916-1066],1981,98116,[1905-2155],[6051-6450],[600000-700000)
43,624111000,20140805T000000,950000,3,3,[3908-4108],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],[916-1066],1986,98077,[3160-3410],[13651-14050],[900000-1000000)
44,2607720440,20150304T000000,470000,3,2.5,[1898-2098],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1994,98045,[1905-2155],[9651-10050],[400000-500000)
45,3905090080,20140530T000000,642000,4,2.5,[2501-2701],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1992,98029,[2658-2908],[8051-8450],[600000-700000)
46,1545801340,20141231T000000,261000,3,1.75,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1987,98038,[1152-1402],[7651-8050],[200000-300000)
47,2473460860,20141027T000000,260000,4,2.5,[2099-2299],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1977,98058,[1905-2155],[8451-8850],[200000-300000)
48,3295610490,20150504T000000,911000,4,3.25,[3506-3706],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,1997,98075,[3411-3661],[13651-14050],[900000-1000000)
49,3034200885,20141208T000000,290000,2,1,[1295-1495],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1949,98133,[1403-1653],[8851-9250],[200000-300000)
50,2397101075,20140702T000000,782000,2,1.5,[1496-1696],[3524-4274],1.5,0,OK,Good,Average Quality And Design,[1290-1539],[161-311],1906,98119,[1905-2155],[3451-3650],[700000-800000)
51,3291800660,20150313T000000,406000,3,1.75,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1985,98056,[1905-2155],[7651-8050],[400000-500000)
52,4053200926,20141205T000000,357000,4,2.75,[2501-2701],[37541-54862],1,0,Very Poor,Good,Good Quality And Desgin,[2540-2789],NoBasement,1988,98042,[2658-2908],[13651-14050],[300000-400000)
53,1151100070,20150224T000000,437000,3,2.5,[1697-1897],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1994,98045,[2407-2657],[13651-14050],[400000-500000)
54,7203100550,20140625T000000,660000,3,2.75,[2099-2299],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2008,98053,[2156-2406],[4451-4850],[600000-700000)
55,7905200386,20140729T000000,410000,3,1,[893-1093],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1951,98116,[1403-1653],[6451-6850],[400000-500000)
56,518500210,20140508T000000,868500,3,2.5,[2903-3103],[3524-4274],3,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2008,98056,[2909-3159],[3851-4050],[800000-900000)
57,7215730410,20140825T000000,727000,4,3,[3104-3304],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2001,98075,[2909-3159],[8451-8850],[700000-800000)
58,7202330530,20150116T000000,479000,3,2.5,[1496-1696],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,2003,98053,[1403-1653],[3251-3450],[400000-500000)
59,7338401759,20140610T000000,268000,2,1,[1295-1495],[4275-5025],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[463-613],1943,98108,[1403-1653],[4851-5250],[200000-300000)
60,11501310,20141121T000000,715000,3,3.25,[2903-3103],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[463-613],1994,98052,[2909-3159],[9251-9650],[700000-800000)
61,3326069026,20150401T000000,600000,3,1.75,[2300-2500],>=54863,1,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1988,98053,[3160-3410],[13651-14050],[600000-700000)
62,5015001680,20140611T000000,427000,4,1,[1697-1897],[4275-5025],1.5,0,Very Poor,Very Poor,Average Quality And Design,[1790-2039],NoBasement,1901,98112,[1654-1904],[3851-4050],[400000-500000)
63,5083100065,20140916T000000,230000,3,1,[1094-1294],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1955,98198,[1152-1402],[9251-9650],[200000-300000)
64,170000060,20141008T000000,1.20E+06,5,3.5,[3707-3907],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],[1218-1368],2014,98107,[1152-1402],[4051-4450],[1200000-1300000)
65,9558020380,20140820T000000,525000,4,2.5,[2702-2902],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2002,98058,[2407-2657],[4451-4850],[500000-600000)
66,8820901415,20140529T000000,400000,4,2.75,[1094-1294],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[312-462],1987,98125,[901-1151],[7651-8050],[400000-500000)
67,5615100330,20150327T000000,200000,4,2,[1898-2098],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1975,98022,[1152-1402],[6451-6850],[200000-300000)
68,3260800190,20150324T000000,325000,3,2.5,[1898-2098],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1998,98003,[2156-2406],[7251-7650],[300000-400000)
69,2195700270,20140627T000000,665000,3,2.5,[2501-2701],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1988,98072,[2909-3159],[13651-14050],[600000-700000)
70,686800080,20140612T000000,1.03E+06,4,2.5,[2300-2500],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2003,98004,[2407-2657],[13651-14050],[1000000-1100000)
71,226039316,20140603T000000,941500,5,3.5,[3305-3505],[9532-10282],2,0,Excellent,OK,Good Quality And Desgin,[2290-2539],[916-1066],1980,98177,[2909-3159],[13251-13650],[900000-1000000)
72,2581900036,20140612T000000,743000,3,1.75,[2099-2299],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1961,98040,[2407-2657],[10851-11250],[700000-800000)
73,5149300100,20140818T000000,304999,4,2.25,[2099-2299],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[916-1066],1976,98023,[1905-2155],[13651-14050],[300000-400000)
74,1843130210,20141015T000000,266950,3,2.5,[1898-2098],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2005,98042,[2156-2406],[4851-5250],[200000-300000)
75,2924079044,20140723T000000,865000,3,3.75,[3707-3907],>=54863,2,0,Very Poor,OK,Good Quality And Desgin,[3790-4039],NoBasement,1977,98027,[2407-2657],[13651-14050],[800000-900000)
76,9310300175,20150304T000000,225000,3,1,[1295-1495],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1946,98133,[1905-2155],[12851-13250],[200000-300000)
77,423059184,20141201T000000,180000,3,1,[1898-2098],[9532-10282],2,0,Very Poor,Poor,Bad Quality And Design,[1790-2039],NoBasement,1908,98056,[1654-1904],[8051-8450],[100000-200000)
78,705700210,20150316T000000,320000,3,2.25,[1496-1696],[6528-7278],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1994,98038,[1905-2155],[7651-8050],[300000-400000)
79,8861700030,20141212T000000,510000,3,1.5,[2300-2500],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[765-915],1964,98052,[2156-2406],[10051-10450],[500000-600000)
80,3735901040,20140703T000000,341000,3,1,[1295-1495],[4275-5025],1.5,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,1908,98115,[1654-1904],[3851-4050],[300000-400000)
81,3995700220,20150317T000000,380000,3,1,[1295-1495],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1948,98155,[1152-1402],[8051-8450],[300000-400000)
82,7338402690,20150401T000000,335000,6,2,[1898-2098],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[916-1066],1979,98108,[1905-2155],[4851-5250],[300000-400000)
83,993001330,20140505T000000,406100,3,2.25,[1295-1495],[1270-2020],3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2005,98103,[1403-1653],[1251-1450],[400000-500000)
84,8947250060,20150326T000000,292500,4,2.5,[1496-1696],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,2006,98001,[1654-1904],[4451-4850],[200000-300000)
85,9407001320,20140522T000000,295000,4,2,[893-1093],[10283-11870],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],NoBasement,1978,98045,[1152-1402],[9651-10050],[200000-300000)
86,9412700550,20140521T000000,256750,3,2.5,[1898-2098],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],[312-462],1969,98042,[1905-2155],[8851-9250],[200000-300000)
87,5561400220,20140819T000000,592500,4,2.5,[3305-3505],[21510-37540],1,0,Very Poor,Excellent,Good Quality And Desgin,[1540-1789],[1520-1670],1993,98027,[2909-3159],[13651-14050],[500000-600000)
88,4036800370,20141103T000000,455000,4,2.5,[1295-1495],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1956,98008,[1403-1653],[8451-8850],[400000-500000)
89,142000165,20140507T000000,749950,4,2.75,[2501-2701],[5777-6527],2,0,Very Poor,Excellent,Good Quality And Desgin,[1790-2039],[614-764],1949,98116,[1905-2155],[5651-6050],[700000-800000)
90,8032700072,20150415T000000,580000,3,1.5,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2008,98103,[1403-1653],[1651-1850],[500000-600000)
91,8899100230,20150311T000000,345000,3,1.75,[1496-1696],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1969,98055,[1403-1653],[7251-7650],[300000-400000)
92,1042700290,20140804T000000,864327,5,3.25,[3305-3505],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2014,98074,[3160-3410],[5251-5650],[800000-900000)
93,9543000945,20150427T000000,182500,3,2.25,[1697-1897],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1997,98001,[1654-1904],[7651-8050],[100000-200000)
94,254000545,20141023T000000,385000,4,2.5,[1496-1696],[5026-5776],2,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1924,98146,[1403-1653],[5251-5650],[300000-400000)
95,2224069165,20140902T000000,801000,4,3.5,[3104-3304],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2012,98029,[3160-3410],[10451-10850],[800000-900000)
96,880000189,20140811T000000,209000,3,2,[1094-1294],[1270-2020],2,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],2003,98106,[1152-1402],[1251-1450],[200000-300000)
97,7582700075,20141002T000000,1.49E+06,4,3.5,[3908-4108],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],[614-764],2007,98105,[3160-3410],[6051-6450],[1400000-1500000)
98,1795920250,20150227T000000,637000,3,2.25,[2099-2299],[7279-8029],2,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1986,98052,[2156-2406],[7651-8050],[600000-700000)
99,8087800020,20140515T000000,412500,3,1.5,[1295-1495],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1963,98052,[1403-1653],[8451-8850],[400000-500000)
100,3401700031,20140822T000000,661000,2,1.5,[1697-1897],[37541-54862],2,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],NoBasement,1964,98072,[2156-2406],[13651-14050],[600000-700000)
101,3299610260,20150421T000000,948000,3,2.5,[3506-3706],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2002,98075,[3411-3661],[10451-10850],[900000-1000000)
102,5101400461,20150417T000000,449000,4,2,[1496-1696],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1959,98115,[1152-1402],[4851-5250],[400000-500000)
103,2937300520,20140801T000000,799990,4,2.75,[3104-3304],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2014,98052,[3411-3661],[6051-6450],[700000-800000)
104,9526500080,20140729T000000,337000,4,2,[1496-1696],[8030-8780],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,2001,98019,[1905-2155],[9251-9650],[300000-400000)
105,9293000170,20150408T000000,800000,5,2.5,[3305-3505],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2007,98006,[2658-2908],[4851-5250],[800000-900000)
106,1959701800,20140702T000000,2.15E+06,3,3.5,>=4511,[5026-5776],2,0,Excellent,Excellent,Good Quality And Desgin,[3040-3289],[1520-1670],1909,98102,[2909-3159],[5251-5650],[2100000-2200000)
107,7625702437,20150115T000000,389000,3,2.5,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],<=160,2006,98136,[1152-1402],[851-1050],[300000-400000)
108,5095400760,20140623T000000,337000,3,1.75,[1295-1495],[11871-14750],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1993,98059,[1654-1904],[13251-13650],[300000-400000)
109,3523059056,20140618T000000,365000,3,2.5,[2501-2701],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[916-1066],1991,98058,[2156-2406],[7251-7650],[300000-400000)
110,2450000165,20140618T000000,650000,3,1.5,[1295-1495],[8030-8780],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,1951,98004,[1905-2155],[8051-8450],[600000-700000)
111,7856400410,20140729T000000,1.10E+06,4,2.25,[3305-3505],[8030-8780],1,0,Excellent,Good,Good Quality And Desgin,[1540-1789],[1520-1670],1973,98006,[3411-3661],[9251-9650],[1100000-1200000)
112,9282801030,20140925T000000,440000,5,3,[2702-2902],[5777-6527],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[1218-1368],1979,98178,[2407-2657],[5651-6050],[400000-500000)
113,4442800166,20150407T000000,510000,3,3,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2009,98117,[1152-1402],[1451-1650],[500000-600000)
114,7625703435,20150121T000000,885000,3,2.25,[2903-3103],[5777-6527],3,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2014,98136,[1654-1904],[6451-6850],[800000-900000)
115,9406520830,20150326T000000,314950,3,2.25,[1496-1696],[8030-8780],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1995,98038,[1654-1904],[8451-8850],[300000-400000)
116,3956100050,20140829T000000,533300,4,2.5,[2702-2902],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1991,98045,[2407-2657],[13651-14050],[500000-600000)
117,8024202520,20140509T000000,445000,2,2,[1094-1294],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],1940,98115,[1654-1904],[6851-7250],[400000-500000)
118,4319200605,20140628T000000,475000,3,2.5,[1697-1897],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[463-613],1998,98126,[1403-1653],[8051-8450],[400000-500000)
119,984000650,20140908T000000,300000,4,2,[1898-2098],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[614-764],1967,98058,[1905-2155],[8451-8850],[300000-400000)
120,1868901815,20140617T000000,547000,4,1,[1697-1897],[2021-3523],1.5,0,Very Poor,Good,Average Quality And Design,[1040-1289],[463-613],1926,98115,[1403-1653],[3451-3650],[500000-600000)
121,871001365,20150219T000000,655000,3,1.75,[1697-1897],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[614-764],1952,98199,[1654-1904],[4851-5250],[600000-700000)
122,4167300030,20150209T000000,260000,4,1.75,[1697-1897],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[463-613],1977,98023,[1654-1904],[9251-9650],[200000-300000)
123,3298700840,20140821T000000,263500,2,1,[692-892],[4275-5025],1,0,Very Poor,OK,Bad Quality And Design,[540-789],NoBasement,1942,98106,[901-1151],[4851-5250],[200000-300000)
124,7215730200,20141119T000000,601000,4,2.5,[1898-2098],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2001,98075,[2156-2406],[5251-5650],[600000-700000)
125,1972201550,20140716T000000,565000,4,1,[1496-1696],[2021-3523],1.5,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1906,98103,[1152-1402],[3251-3450],[500000-600000)
126,2770600930,20141022T000000,601000,3,2.5,[1697-1897],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[463-613],2012,98199,[1654-1904],[1451-1650],[600000-700000)
127,8682281480,20140725T000000,592500,2,2,[1697-1897],[4275-5025],1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2006,98053,[2156-2406],[5251-5650],[500000-600000)
128,7853220470,20140915T000000,615000,5,3.5,[2903-3103],[7279-8029],2,0,Good,OK,Good Quality And Desgin,[2290-2539],[463-613],2005,98065,[2909-3159],[7651-8050],[600000-700000)
129,7278700070,20150102T000000,660000,3,2.5,[2300-2500],[5777-6527],1,0,OK,OK,Good Quality And Desgin,[1540-1789],[765-915],1964,98177,[2156-2406],[10851-11250],[600000-700000)
130,476000110,20150401T000000,445000,2,2.25,[1094-1294],<=1269,3,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,2007,98107,[1152-1402],[1251-1450],[400000-500000)
131,5420300240,20141205T000000,270000,3,1.75,[1697-1897],[7279-8029],1,0,Very Poor,OK,Bad Quality And Design,[1290-1539],[312-462],1984,98030,[1403-1653],[7251-7650],[200000-300000)
132,8562790150,20140626T000000,782900,4,3.25,[2903-3103],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[614-764],2014,98027,[2909-3159],[3251-3450],[700000-800000)
133,5412200270,20140520T000000,288400,4,2.5,[1697-1897],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[614-764],1983,98031,[1654-1904],[6051-6450],[200000-300000)
134,2818100255,20141029T000000,922000,4,2.5,[2501-2701],[11871-14750],1,0,Excellent,Good,Good Quality And Desgin,[1540-1789],[916-1066],1941,98117,[2407-2657],[8851-9250],[900000-1000000)
135,2770601734,20140630T000000,535000,3,1,[1496-1696],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1925,98199,[1403-1653],[1451-1650],[500000-600000)
136,9476010120,20150321T000000,670000,5,2.75,[2702-2902],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2008,98075,[2658-2908],[6051-6450],[600000-700000)
137,4154300505,20141024T000000,315000,2,1,[692-892],[6528-7278],1,0,Very Poor,Poor,Bad Quality And Design,[540-789],NoBasement,1935,98118,[1654-1904],[6851-7250],[300000-400000)
