Int32,String,Double,Int32,Double,Double,Double,Double,Boolean,Int32,Int32,Int32,Double,Double,Int32,Int32,Double,Double,,
63,5083100065,230000,3,1,1190,9083,1,0,0,3,7,1190,0,1955,98198,1190,9450,,
64,170000060,1.20E+06,5,3.5,3900,4400,2,0,0,3,9,2650,1250,2014,98107,1190,4400,,
65,9558020380,525000,4,2.5,2840,4750,2,0,0,3,9,2840,0,2002,98058,2460,4750,,
66,8820901415,400000,4,2.75,1240,3867,1,0,0,3,7,800,440,1987,98125,1150,7733,,
67,5615100330,200000,4,2,1900,8160,1,0,0,3,7,1900,0,1975,98022,1280,6532,,
68,3260800190,325000,3,2.5,2000,7205,2,0,0,3,8,2000,0,1998,98003,2180,7611,,
69,2195700270,665000,3,2.5,2610,35000,2,0,0,3,10,2610,0,1988,98072,3060,35427,,
70,686800080,1.03E+06,4,2.5,2370,10858,2,0,0,3,9,2370,0,2003,98004,2510,21673,,
71,226039316,941500,5,3.5,3490,9680,2,0,4,3,9,2460,1030,1980,98177,3080,13489,,
72,2581900036,743000,3,1.75,2110,11250,1,0,0,4,8,2110,0,1961,98040,2560,10992,,
73,5149300100,304999,4,2.25,2270,9600,1,0,0,3,7,1290,980,1976,98023,1930,15000,,
74,1843130210,266950,3,2.5,1920,4803,2,0,0,3,7,1920,0,2005,98042,2240,5231,,
75,2924079044,865000,3,3.75,3830,219106,2,0,0,3,9,3830,0,1977,98027,2440,219106,,
76,9310300175,225000,3,1,1490,15850,1,0,0,3,7,1490,0,1946,98133,1950,13228,,
77,423059184,180000,3,1,1960,9583,2,0,0,2,5,1960,0,1908,98056,1850,8324,,
78,705700210,320000,3,2.25,1650,7047,2,0,0,3,7,1650,0,1994,98038,2010,7763,,
79,8861700030,510000,3,1.5,2400,10275,1,0,0,4,8,1540,860,1964,98052,2380,10125,,
80,3735901040,341000,3,1,1390,4814,1.5,0,0,3,6,1390,0,1908,98115,1730,3990,,
81,3995700220,380000,3,1,1380,8147,1,0,0,4,7,1380,0,1948,98155,1360,8147,,
82,7338402690,335000,6,2,2020,7071,1,0,0,3,7,1010,1010,1979,98108,2020,5000,,
83,993001330,406100,3,2.25,1410,1332,3,0,0,3,8,1410,0,2005,98103,1430,1448,,
84,8947250060,292500,4,2.5,1610,4568,2,0,0,3,7,1610,0,2006,98001,1834,4604,,
85,9407001320,295000,4,2,980,10640,1,0,0,5,7,980,0,1978,98045,1230,9750,,
86,9412700550,256750,3,2.5,1990,8991,1,0,0,3,7,1570,420,1969,98042,1920,8991,,
87,5561400220,592500,4,2.5,3370,35150,1,0,0,5,8,1770,1600,1993,98027,2920,41241,,
88,4036800370,455000,4,2.5,1320,7000,1,0,0,4,7,1320,0,1956,98008,1550,8610,,
89,142000165,749950,4,2.75,2600,6050,2,0,0,5,8,1960,640,1949,98116,1990,6050,,
90,8032700072,580000,3,1.5,1320,1250,3,0,0,3,8,1320,0,2008,98103,1560,1694,,
91,8899100230,345000,3,1.75,1520,7439,1,0,0,4,7,1520,0,1969,98055,1650,7500,,
92,1042700290,864327,5,3.25,3480,6507,2,0,0,3,9,3480,0,2014,98074,3360,5398,,
93,9543000945,182500,3,2.25,1830,4744,2,0,0,3,7,1830,0,1997,98001,1670,8001,,
94,254000545,385000,4,2.5,1620,5280,2,0,0,4,7,1620,0,1924,98146,1590,5280,,
95,2224069165,801000,4,3.5,3290,8059,2,0,0,3,9,3290,0,2012,98029,3290,10758,,
96,880000189,209000,3,2,1230,1340,2,0,0,3,7,1020,210,2003,98106,1260,1312,,
97,7582700075,1.49E+06,4,3.5,3930,6120,2,0,0,3,10,3310,620,2007,98105,3390,6120,,
98,1795920250,637000,3,2.25,2200,7355,2,0,0,4,8,2200,0,1986,98052,2290,7868,,
99,8087800020,412500,3,1.5,1490,8475,1,0,0,4,7,1490,0,1963,98052,1490,8540,,
100,3401700031,661000,2,1.5,1750,46173,2,0,0,4,8,1750,0,1964,98072,2220,42224,,
101,3299610260,948000,3,2.5,3510,9824,2,0,0,3,9,3510,0,2002,98075,3510,10588,,
102,5101400461,449000,4,2,1560,5220,1,0,0,3,7,1560,0,1959,98115,1300,5220,,
103,2937300520,799990,4,2.75,3110,6050,2,0,0,3,9,3110,0,2014,98052,3590,6054,,
104,9526500080,337000,4,2,1590,8779,1,0,0,3,8,1590,0,2001,98019,2090,9600,,
105,9293000170,800000,5,2.5,3410,4726,2,0,0,3,9,3410,0,2007,98006,2810,5129,,
106,1959701800,2.15E+06,3,3.5,4660,5500,2,0,4,5,10,3040,1620,1909,98102,2980,5500,,
107,7625702437,389000,3,2.5,1350,874,3,0,0,3,8,1270,80,2006,98136,1350,886,,
108,5095400760,337000,3,1.75,1310,12750,1,0,0,3,7,1310,0,1993,98059,1790,13500,,
109,3523059056,365000,3,2.5,2640,6715,2,0,0,3,8,1680,960,1991,98058,2260,7373,,
110,2450000165,650000,3,1.5,1320,8114,1,0,0,3,8,1320,0,1951,98004,2110,8114,,
111,7856400410,1.10E+06,4,2.25,3310,8540,1,0,4,4,9,1660,1650,1973,98006,3450,9566,,
112,9282801030,440000,5,3,2730,6000,1,0,0,3,8,1470,1260,1979,98178,2590,6000,,
113,4442800166,510000,3,3,1320,1012,3,0,0,3,8,1320,0,2009,98117,1320,1536,,
114,7625703435,885000,3,2.25,2940,6500,3,0,0,3,9,2940,0,2014,98136,1680,6500,,
115,9406520830,314950,3,2.25,1654,8479,2,0,0,3,7,1654,0,1995,98038,1654,8479,,
116,3956100050,533300,4,2.5,2770,21806,2,0,0,3,9,2770,0,1991,98045,2500,21656,,
117,8024202520,445000,2,2,1150,6634,1,0,0,3,7,860,290,1940,98115,1680,6892,,
118,4319200605,475000,3,2.5,1700,9100,1,0,0,3,8,1160,540,1998,98126,1590,8374,,
119,984000650,300000,4,2,2050,8750,1,0,0,3,7,1300,750,1967,98058,2050,8750,,
120,1868901815,547000,4,1,1720,2800,1.5,0,0,4,7,1200,520,1926,98115,1530,3500,,
121,871001365,655000,3,1.75,1800,5102,1,0,0,3,7,1170,630,1952,98199,1720,5102,,
122,4167300030,260000,4,1.75,1810,7480,1,0,0,3,7,1230,580,1977,98023,1870,9594,,
123,3298700840,263500,2,1,750,4515,1,0,0,3,6,750,0,1942,98106,1020,5000,,
124,7215730200,601000,4,2.5,2080,5191,2,0,0,3,8,2080,0,2001,98075,2170,5518,,
125,1972201550,565000,4,1,1540,2452,1.5,0,0,4,7,1540,0,1906,98103,1290,3360,,
126,2770600930,601000,3,2.5,1740,1251,2,0,0,3,9,1180,560,2012,98199,1740,1625,,
127,8682281480,592500,2,2,1870,4751,1,0,0,3,8,1870,0,2006,98053,2170,5580,,
128,7853220470,615000,5,3.5,2950,7980,2,0,3,3,9,2350,600,2005,98065,2950,7980,,
129,7278700070,660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,98177,2340,10856,,
130,476000110,445000,2,2.25,1200,1137,3,0,0,3,7,1200,0,2007,98107,1280,1295,,
131,5420300240,270000,3,1.75,1800,7763,1,0,0,3,6,1470,330,1984,98030,1440,7483,,
132,8562790150,782900,4,3.25,3060,3898,2,0,0,3,10,2300,760,2014,98027,2920,3448,,
133,5412200270,288400,4,2.5,1860,6687,1,0,0,4,7,1220,640,1983,98031,1860,6117,,
134,2818100255,922000,4,2.5,2620,14126,1,0,4,4,8,1620,1000,1941,98117,2620,8905,,
135,2770601734,535000,3,1,1580,6300,1,0,0,3,7,1180,400,1925,98199,1560,1601,,
136,9476010120,670000,5,2.75,2900,5155,2,0,0,3,8,2900,0,2008,98075,2900,6176,,
137,4154300505,315000,2,1,780,7200,1,0,0,2,6,780,0,1935,98118,1750,7200,,
138,6840700036,497000,2,1,770,3325,1,0,0,3,7,770,0,1918,98122,960,4800,,
139,7849202190,235000,0,0,1470,4800,2,0,0,3,7,1470,0,1996,98065,1060,7200,,
140,1862000010,915000,4,2.5,3400,35062,2,0,0,4,11,3400,0,1988,98052,2880,9705,,
141,6072300110,550000,3,1.75,1940,8376,1,0,0,4,8,1290,650,1963,98006,2400,8674,,
142,1077100020,365000,3,1.5,1520,8519,1,0,0,3,7,1520,0,1954,98133,1570,9000,,
143,1568100225,343000,2,1.5,1040,8526,1,0,0,5,6,1040,0,1953,98155,1310,8504,,
144,1214000080,329950,3,1,1750,7800,1,0,0,4,7,1150,600,1956,98166,1750,7560,,
145,3316500200,612500,4,2,1690,35346,1,0,0,3,7,1690,0,1967,98008,2050,37846,,
146,9407100800,255000,3,1,1230,10170,1,0,0,3,7,1230,0,1979,98045,1380,10098,,
147,2868900160,222500,3,1,990,10125,1,0,0,3,7,990,0,1972,98042,1360,10125,,
148,9831200221,670000,3,2.5,1420,1438,2,0,0,3,9,1280,140,2003,98102,1490,1439,,
149,98030530,745000,4,3.25,3490,7024,2,0,0,3,10,3490,0,2006,98075,3450,6866,,
150,1328330780,329950,3,1,1000,9170,1,0,0,3,7,1000,0,1980,98058,1610,9170,,
151,3834000805,350000,4,1,1170,8147,1.5,0,0,3,6,1170,0,1959,98125,1260,8147,,
152,8129700255,798750,2,2.25,2160,2578,3,0,0,3,8,2160,0,2005,98103,1800,2142,,
153,3972900215,315000,2,1,1120,7350,1,0,0,3,7,1120,0,1942,98155,1320,7545,,
154,3814700200,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,98030,2200,6865,,
155,9407000230,240000,3,1,1600,12566,1,0,0,4,7,1600,0,1971,98045,1600,10650,,
156,1332200110,300000,4,2.5,2200,8065,2,0,0,3,7,2200,0,1998,98031,2641,8535,,
157,7663700759,368000,3,1.5,1560,7884,1,0,0,3,7,1060,500,1969,98125,1820,9000,,
158,7202330330,447000,3,2.5,1650,3076,2,0,0,3,7,1650,0,2003,98053,1560,3064,,
159,3327750020,347000,3,1,940,9198,1,0,0,3,7,940,0,1968,98052,1430,8370,,
160,6821100125,529500,2,1,900,4800,1,0,0,4,6,780,120,1944,98199,1270,5520,,
161,9477920120,505000,4,2.5,3170,5340,2,0,0,3,7,3170,0,2000,98059,3010,5340,,
162,8943600430,389950,3,2.5,2283,3996,2,0,0,3,8,2283,0,2008,98031,1760,3992,,
163,8029740060,345000,5,2.75,1940,4182,1,0,0,3,7,1240,700,2002,98056,1950,4182,,
164,109200730,218000,3,1.75,1850,7684,1,0,0,3,8,1320,530,1979,98023,1940,7630,,
165,723069013,255500,2,1,1440,43560,1,0,0,4,7,1150,290,1965,98027,1870,56628,,
166,7880000060,658588,3,2.25,2560,41346,2,0,0,3,10,2560,0,1986,98027,3040,35395,,
167,7011201550,780000,4,2,2600,4800,1,0,2,3,8,1400,1200,1953,98119,2050,3505,,
168,5021900175,500000,3,1.75,1540,10800,1,0,0,5,6,770,770,1947,98040,2020,10800,,
169,8928100025,750000,4,1.5,1950,6300,1.5,0,1,3,7,1650,300,1944,98115,1760,6300,,
170,1323089056,439000,2,1.75,1620,113862,1.5,0,0,3,7,1620,0,1995,98045,1560,54806,,
171,985000955,290000,4,2,1560,8800,2,0,0,5,6,1560,0,1942,98168,1480,10000,,
172,2622059062,739500,3,3.25,4460,51177,2,0,0,3,9,4460,0,2005,98042,2670,38925,,
173,5550300175,285000,2,1,720,6400,1,0,0,4,6,720,0,1943,98126,1030,6400,,
174,5458800425,795000,3,1.75,1930,9600,1,0,0,3,8,1930,0,1958,98040,2350,9840,,
175,2421059125,579950,4,2.5,2880,213444,1,0,0,5,8,2140,740,1984,98092,2810,213444,,
176,2473450870,325000,3,2.25,2480,8755,2,0,0,3,8,2480,0,1979,98058,2280,9940,,
177,9473200105,425000,2,1,2110,4920,1.5,0,0,3,7,1460,650,1911,98103,1390,4732,,
178,9826701794,390000,3,3,1550,1608,2,0,0,3,8,1280,270,2001,98122,1940,1883,,
179,4058800930,385000,3,1.75,2370,6360,1,0,3,3,7,1280,1090,1954,98178,1990,6360,,
180,1556200155,675000,3,2,1510,3817,1.5,0,0,3,8,1510,0,1905,98122,1510,3817,,
181,1118001408,2.54E+06,5,4.75,5410,13431,2,0,0,4,10,5050,360,1941,98112,3750,11596,,
182,5706201360,435000,5,1.5,1720,12551,1,0,0,3,7,1720,0,1967,98027,1560,12960,,
183,3582200200,455000,3,1,2400,17239,1,0,0,4,7,1890,510,1940,98028,2390,7350,,
184,1223039290,403950,4,2.5,2120,13780,2,0,0,3,8,2120,0,1993,98146,1880,12000,,
185,9557300570,554500,3,2.25,1880,6565,1,0,0,4,8,1420,460,1972,98008,2060,7280,,
186,5556300076,1.44E+06,3,2.25,2630,9705,2.5,0,2,4,8,2630,0,1987,98052,2640,14284,,
187,2011400019,260000,5,2.5,2580,11250,1,0,0,3,7,1410,1170,1964,98198,2240,11780,,
188,7312200120,450000,3,2.25,1760,10013,2,0,0,4,8,1760,0,1983,98056,1810,9768,,
189,7883605915,337500,3,1,1020,6000,1.5,0,0,3,7,1020,0,1900,98108,1240,6000,,
190,1118000340,3.00E+06,5,3.75,4590,11265,2,0,0,4,11,3450,1140,1927,98112,3870,8996,,
191,6446200190,563750,4,2.75,2690,25000,1,0,0,3,8,1750,940,1978,98029,2640,28250,,
192,7575610250,225000,3,2.25,1650,7739,1,0,0,3,8,1290,360,1986,98003,1650,6033,,
193,9388100015,740000,3,2.5,2710,18480,2,0,2,3,10,2000,710,1978,98034,2710,18077,,
194,8854100130,600000,5,3.5,3150,10542,1,0,0,5,9,1620,1530,1974,98011,3150,11807,,
195,9264940130,350000,4,2.25,2390,13002,2,0,0,3,8,2390,0,1987,98023,2450,11200,,
196,5089700260,283500,4,2.25,2100,8050,2,0,0,3,8,2100,0,1978,98055,2190,7700,,
197,1442880260,456000,3,2.5,2130,5205,2,0,0,3,8,2130,0,2013,98045,2250,5462,,
198,3558900590,692500,6,1.75,2230,10080,1,0,0,3,7,1390,840,1969,98034,2110,8475,,
199,8122100392,292500,2,1,750,5026,1,0,0,4,6,750,0,1942,98126,1260,5040,,
200,1556200005,847000,5,1,2550,4623,2.5,0,0,4,9,2550,0,1905,98122,1570,3875,,
201,2493200455,290000,2,1,770,4800,1,0,0,3,7,770,0,1943,98136,1390,4800,,
202,2586800270,425000,4,1,1260,7645,1.5,0,0,3,6,1260,0,1925,98146,1170,7649,,
203,7857000861,325000,4,1,1530,5684,1,0,0,3,7,1130,400,1957,98108,1540,6095,,
204,9485940290,464950,4,2.25,2350,36116,1,0,0,4,9,2350,0,1983,98042,2580,36116,,
205,4039500610,440000,3,1.75,1430,8400,1,0,0,4,7,1430,0,1961,98008,1570,7800,,
206,2138800060,490000,3,1.75,1770,7508,1,0,0,3,7,1270,500,1962,98133,1690,8880,,
207,5104511840,449950,4,3,2800,6977,2,0,0,3,8,2800,0,2003,98038,2800,6600,,
208,5021900050,832500,3,2,1870,9527,1,0,0,4,7,1870,0,1951,98040,1970,11904,,
209,6804600550,439000,4,2.25,2570,9503,2,0,0,3,8,2570,0,1980,98011,1950,9600,,
210,7625701935,330000,2,1,700,4000,1,0,0,3,6,700,0,1943,98136,1060,6000,,
211,1795500060,198400,3,1,1040,8645,1,0,0,4,7,1040,0,1962,98042,1290,8645,,
212,3375300150,258500,3,2.5,1800,9000,2,0,0,3,7,1800,0,1983,98003,1670,8486,,
213,2028700575,550000,3,2,1390,2688,1.5,0,0,5,7,1390,0,1915,98117,1440,2900,,
214,3205200240,420000,4,1.75,1340,8400,1,0,0,5,7,1340,0,1967,98056,1980,8400,,
215,4389201064,810000,3,1.5,1520,9041,1,0,0,4,7,1520,0,1954,98004,3260,10020,,
216,1604602050,460000,3,2.5,1610,2527,2,0,2,3,9,1080,530,2005,98118,1610,4173,,
217,1760650290,313200,3,2.5,1950,4197,2,0,0,3,7,1950,0,2013,98042,2300,4178,,
218,9290850760,845000,4,2.5,2880,35610,1,0,0,3,10,2880,0,1989,98052,3460,35610,,
219,8039900360,383000,3,2.25,2090,15000,1,0,0,3,7,2090,0,1961,98045,1690,14400,,
220,3902100150,490000,5,2,2150,4500,1.5,0,0,3,8,2150,0,1938,98116,1300,4500,,
221,795000765,92000,2,1,760,5500,1.5,0,0,3,5,760,0,1947,98168,1040,5515,,
222,7562100065,260000,3,2,1170,5450,1,0,0,5,6,1170,0,1902,98118,1340,6384,,
223,3629980860,680000,4,2.75,2330,3920,2,0,0,3,9,2330,0,2005,98029,2410,4063,,
224,2159900120,419000,2,2.5,1470,2034,2,0,0,4,8,1470,0,1985,98007,1510,2055,,
225,5014600210,710000,4,2.5,3060,5000,2,0,0,3,9,3060,0,2006,98059,2870,5548,,
226,126059018,395000,4,2.25,1780,10748,2,0,0,4,8,1780,0,1964,98072,2070,37680,,
227,824059324,1.45E+06,4,3.5,3720,8301,2,0,0,3,10,2880,840,2008,98004,2080,9676,,
228,1284000010,330000,4,1.75,1550,50094,1,0,3,4,6,1550,0,1967,98022,1720,50094,,
229,1338300010,842500,3,2.25,2560,3996,1.5,0,0,3,8,2150,410,1910,98112,2970,4320,,
230,1042700270,852880,4,3.25,3450,6184,2,0,0,3,9,3450,0,2014,98074,3020,5369,,
231,1964700054,975000,3,2.5,1660,1344,3,0,0,3,8,1660,0,2008,98102,1750,2040,,
232,7937600395,782000,4,3.5,5270,53428,2,0,0,3,10,3440,1830,2004,98058,2340,30904,,
233,8682310460,498800,2,1.75,1350,4614,1,0,0,3,8,1350,0,2008,98053,1680,4775,,
234,3649100674,535000,3,2.5,2390,6263,2,0,0,3,9,2390,0,2003,98028,2390,11761,,
235,7203102140,300000,2,1,1290,2482,2,0,0,3,7,1290,0,2008,98053,1290,2482,,
236,922059169,800000,6,4.25,5480,189050,2,0,0,4,10,5140,340,1991,98031,2470,10429,,
237,8651500710,608700,4,2.5,2260,9696,1,0,0,3,9,2260,0,1983,98074,2400,12111,,
238,3271300345,1.03E+06,3,3,2800,5800,1,0,0,3,9,1580,1220,1953,98199,2580,5800,,
239,7893203450,280000,3,1,1400,13975,1,0,0,4,6,1400,0,1956,98198,1260,7500,,
240,2379300340,321500,4,2.5,1930,6228,2,0,0,3,8,1930,0,2000,98030,1930,6168,,
241,1839920180,460000,3,2.25,1620,7350,1,0,0,3,7,1170,450,1969,98034,1800,7350,,
242,1721800190,300000,2,1.5,1300,6120,1,0,0,3,6,820,480,1945,98146,1250,6120,,
243,8832900780,480000,5,2,1760,21562,1,0,1,3,8,1560,200,1959,98028,2150,12676,,
244,8035350260,455000,5,3.5,3080,7759,2,0,0,3,8,2310,770,2003,98019,2980,8223,,
245,2826049070,595000,3,2.5,2250,8300,2,0,0,3,8,2250,0,2003,98125,1790,7626,,
246,524059063,1.80E+06,5,5,4490,10279,2,0,0,3,10,3930,560,2013,98004,2490,10279,,
247,2025069065,2.40E+06,4,2.5,3650,8354,1,1,4,3,9,1830,1820,2000,98074,3120,18841,,
248,4468400211,205000,3,2.25,1250,952,3,0,0,3,8,1250,0,2008,98133,1250,1030,,
249,1257200060,595000,4,1.75,1880,4080,1,0,0,3,7,940,940,1924,98115,1410,4080,,
250,2595300155,565000,4,1.5,2190,8296,2,0,0,3,7,2190,0,1935,98136,1160,8160,,
251,6126601445,490000,3,1.75,1920,5405,1,0,2,4,7,960,960,1947,98126,1190,5405,,
252,1330910370,897500,4,3,4370,217882,2,0,0,3,10,4370,0,1984,98053,2430,35096,,
253,6071000030,610000,5,2.75,2930,31411,1,0,0,4,9,1520,1410,1975,98006,3070,12378,,
254,7214800240,541100,4,2.25,2510,9800,2,0,0,3,9,2510,0,1978,98072,2440,11000,,
255,4206901200,785000,4,1.5,2220,4000,1.5,0,0,3,8,1970,250,1925,98105,1984,4000,,
256,7954310210,615000,4,2.5,3010,6903,2,0,0,3,9,3010,0,2001,98056,2860,6435,,
257,4233400480,240000,3,2,1190,10299,1,0,0,3,7,1190,0,1994,98010,1700,9849,,
258,1424069110,675000,4,2.5,2620,6114,2,0,0,3,9,2620,0,2011,98029,2620,5808,,
259,6852700097,630000,3,3.25,1610,1275,2,0,0,3,8,1220,390,2005,98102,1750,3000,,
260,2215900180,270000,3,2.5,1690,7165,2,0,0,4,7,1690,0,1992,98038,1410,8590,,
261,3586500630,850000,2,1.75,2170,25732,1,0,2,4,8,2170,0,1952,98177,3020,23135,,
262,7560000050,730000,3,3.5,2440,3502,2,0,0,3,7,1970,470,2000,98005,2440,3417,,
263,7283900010,350000,3,1,1080,7000,1,0,0,4,6,1080,0,1916,98133,1410,7214,,
264,9416400020,572000,3,2.75,2200,3885,2,0,0,3,8,2200,0,2002,98074,2710,6000,,
265,3451000206,340000,3,1.75,2140,13260,1,0,0,3,7,1240,900,1948,98146,1640,13260,,
266,2767603535,600000,3,1.75,1310,5000,2,0,0,4,7,1310,0,1901,98107,1270,4750,,
267,7660100236,375000,3,2.5,1300,1362,2,0,0,3,8,880,420,2008,98144,1300,1251,,
268,5016001260,480000,2,1,820,4200,1,0,0,3,7,820,0,1980,98112,1290,4000,,
269,9828200187,370000,2,1,750,2020,1,0,0,3,7,750,0,1908,98122,1630,2383,,
270,3889100029,810000,3,2.5,2670,10481,2,0,0,3,9,2670,0,2003,98033,2620,8895,,
271,1862400132,379000,2,1,930,5400,1,0,0,3,7,930,0,1952,98117,1050,5400,,
272,11200070,570000,3,2.5,1530,3296,2,0,0,3,8,1530,0,1998,98007,1530,4099,,
