pos,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15
50,313000,4,1.75,1630,3000,1,0,0,3,7,930,700,1978,98144,1630,3000
51,366400,4,2.25,2040,14383,1,0,0,4,8,1270,770,1977,98042,2030,11500
52,317500,2,1.5,1220,8409,1,0,0,4,6,1220,0,1948,98155,1130,8409
53,325000,3,1,1160,9525,1,0,0,4,7,1160,0,1968,98077,1160,10640
54,503000,3,1.75,2070,9827,1,0,0,4,7,1420,650,1967,98027,2150,9827
55,495000,5,2.75,2630,10165,1,0,0,4,8,1690,940,1976,98027,2440,10165
56,270000,2,1,2060,8398,1,0,0,3,7,1260,800,1962,98168,1690,13495
57,1150000,4,3.75,4160,35000,2,0,0,3,11,4160,0,1991,98053,5330,36446
58,372000,3,2.5,1710,5633,2,0,0,3,7,1710,0,1981,98034,1540,5000
59,493000,4,2.5,2070,4270,2,0,0,3,8,2070,0,2010,98028,2070,4610
60,691000,4,2.75,2550,8632,1,0,0,3,8,1700,850,1972,98033,2550,9534
61,280000,3,2.25,1220,5739,1,0,0,3,7,790,430,1984,98115,1870,5739
62,520000,2,1.5,1840,3825,1,0,0,3,8,1040,800,1928,98117,1290,5100
63,388000,2,1.75,800,4800,1,0,0,4,6,800,0,1922,98136,1090,5000
64,615000,3,1.75,2220,7224,1,0,2,3,8,2040,180,1975,98177,2540,9990
65,1330000,3,2.5,3590,8400,1,0,0,3,9,2950,640,1958,98005,1620,7875
66,648360,4,1.75,2260,7005,1,0,1,4,7,1130,1130,1947,98033,2330,9180
67,377000,2,1.5,1000,1251,2,0,0,3,7,930,70,2006,98199,1420,1187
68,491500,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,98092,3000,125017
69,269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,98023,2190,8910
70,340000,2,1,690,5200,1,0,0,3,6,690,0,1918,98136,1380,5700
71,719000,3,3.5,2540,10578,2,0,1,3,9,2010,530,2014,98006,3240,9831
72,280000,3,1,1200,6250,1,0,0,3,6,920,280,1943,98168,1280,9375
73,287500,4,2.25,2250,12000,2,0,0,3,8,2250,0,1985,98032,2140,11871
74,95000,2,1,800,8550,1,0,0,3,7,800,0,1947,98198,1490,8550
75,299000,3,1,1200,15843,1,0,2,3,7,1200,0,1955,98045,1410,15843
76,342450,3,1.5,1280,5525,1,0,0,3,7,1280,0,1962,98133,1330,5286
77,425000,4,1.5,1620,7875,1,0,0,3,7,1620,0,1956,98008,1890,8400
78,645000,4,2.5,3160,11380,2,0,0,3,9,3160,0,1983,98074,2970,10385
79,745000,4,2.5,3130,10860,2,0,0,3,10,3130,0,1990,98075,3130,10860
80,250000,3,1.75,1360,16000,1,0,0,3,7,1360,0,1978,98155,1360,12939
81,339950,3,2.25,1630,12295,2,0,0,4,7,1630,0,1985,98058,1730,9948
82,153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,98023,1350,10500
83,235000,2,1,1020,7920,1,0,0,3,6,1020,0,1939,98108,1530,6900
84,350000,4,2.5,2380,6124,2,0,0,3,8,2380,0,1997,98030,2170,6097
85,435000,4,1.75,2520,7200,1,0,2,5,7,1260,1260,1955,98056,2360,7300
86,1320000,4,3,2860,10292,1,0,0,4,8,2860,0,1953,98004,1840,10273
87,910000,4,2.5,3350,29242,2,0,0,3,11,3350,0,1988,98052,3920,24728
88,790000,3,2.5,3040,34670,2,0,0,4,10,3040,0,1983,98072,3480,35001
89,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,98028,2720,8062
90,760000,4,2.5,3120,8792,2,0,0,4,9,3120,0,1992,98029,2150,7688
91,375000,3,1.5,1240,7733,1,0,0,3,6,790,450,1941,98125,1130,7733
92,251750,3,2,1320,7200,1,0,0,5,7,1320,0,1975,98031,1540,7200
93,375000,3,2.5,1330,816,3,0,0,3,8,1330,0,2004,98117,1330,1113
94,654300,3,2.5,2490,8582,2,0,0,3,9,2490,0,2000,98074,2870,7598
95,607000,5,1.75,1910,5428,1,0,0,3,8,1390,520,1954,98136,1820,5900
96,765000,5,3.75,3580,14275,2,0,0,3,10,3190,390,1999,98027,2740,14300
97,377500,3,2.25,1410,1377,2,0,0,3,7,1290,120,2005,98027,1445,1370
98,321000,4,2.25,1800,4500,2,0,0,4,8,1800,0,2004,98031,2010,5050
99,80000,1,0.75,430,5050,1,0,0,2,4,430,0,1912,98014,1200,7500
100,2200000,5,4,5840,11652,2,0,1,3,11,4410,1430,1988,98004,3120,13639
101,2700000,5,4,4230,27295,2,1,4,3,8,3230,1000,1949,98033,2660,27295
102,430000,4,1.75,1710,7724,1,0,0,3,8,1710,0,1983,98155,1940,7724
103,182500,3,1,910,7194,1,0,0,4,7,910,0,1971,98001,1530,7200
104,807000,3,2.5,1940,4000,2,0,0,4,9,1940,0,2000,98199,1410,4000
105,510000,3,2.5,1860,3658,2,0,0,3,8,1860,0,1994,98029,1840,3739
106,1950000,7,3.5,4640,15235,2,0,1,3,11,2860,1780,1965,98040,3230,20697
107,446000,2,1,2550,21675,1,0,1,4,7,1610,940,1958,98198,2030,10591
108,779950,2,2.5,2680,7625,1,0,0,3,9,2680,0,2002,98053,2310,7395
109,539950,3,1.75,1820,9875,1,0,0,4,8,1820,0,1966,98008,2670,10000
110,539000,3,2,1800,43995,2,0,0,3,8,1800,0,1988,98077,2290,51400
111,570000,3,2.25,2180,9246,2,0,0,3,9,2180,0,1984,98074,2300,9298
112,373000,3,1.75,1850,9655,1,0,0,3,7,1100,750,1959,98155,1480,8683
113,1580000,4,3.25,3760,10920,1.5,0,0,5,9,2400,1360,1950,98105,3430,11050
114,583000,4,2.75,2200,9453,1,0,0,5,8,1100,1100,1955,98144,1390,5355
115,285000,3,1.75,1560,9514,1,0,0,4,7,1560,0,1967,98031,1550,9600
116,475000,6,3,3470,117612,1.5,0,0,3,7,3470,0,1924,98028,2120,17100
117,988830,5,3.25,4115,7910,2,0,0,3,9,4115,0,2014,98053,3950,6765
118,545000,4,3.5,1880,1341,3,0,0,3,8,1650,230,2007,98122,1740,1883
119,695000,3,2,2632,18743,2,0,3,3,10,2632,0,2000,98070,1970,14171
120,559000,4,1.75,2250,8458,1,0,0,3,8,1450,800,1954,98136,1950,7198
121,725000,3,1.75,1610,8613,1,0,0,5,7,1610,0,1962,98033,2010,8670
122,109500,2,1,800,10625,1,0,0,3,6,800,0,1942,98168,1130,10625
123,528000,5,1.75,2780,7786,1,0,0,3,8,1390,1390,1966,98052,2130,7918
124,234000,3,1.75,1420,8738,1,0,0,4,7,1420,0,1966,98002,1660,8738
125,275000,3,2,1540,10410,1,0,0,4,7,1540,0,1967,98198,1590,7725
126,653675,4,2.25,2280,7229,2,0,0,4,8,2280,0,1984,98027,2320,7735
127,315000,3,1.75,1890,10661,1,0,0,5,7,1460,430,1978,98038,1680,9604
128,280000,4,2.5,2400,4596,2,0,0,3,8,2400,0,2004,98001,2230,4763
129,485000,3,2.25,1570,8111,2,0,0,3,8,1570,0,1984,98074,1990,7875
130,375000,3,2.5,2320,5760,1,0,0,3,7,1480,840,1987,98178,1660,5762
131,349950,3,2.5,2140,7715,2,0,0,3,7,2140,0,1991,98198,1990,7628
132,359500,6,3.75,3190,4700,2,0,0,3,8,3190,0,2003,98042,2680,5640
133,910000,2,2.5,2000,5150,2,0,4,3,9,2000,0,1992,98034,2510,6800
134,419000,3,1.75,2140,15030,1,0,0,4,7,1570,570,1958,98166,2170,15030
135,150000,2,1,1250,5208,1,0,0,3,7,1050,200,1951,98002,1030,5354
136,450000,3,1.5,1440,9711,1,0,0,3,7,1140,300,1956,98028,1590,9711
137,272500,3,2,1410,7622,1,0,0,4,7,1410,0,1983,98058,1830,8330
138,279000,3,2.5,1540,7280,1,0,0,3,7,1080,460,1974,98003,1220,6440
139,810000,5,3.25,3290,6422,2,0,0,3,9,3290,0,2012,98074,3210,6891
140,675000,3,2.25,1780,4252,2,0,0,4,8,1540,240,1989,98144,2220,4000
141,370228,4,3,2050,4000,2,0,0,3,8,2050,0,2014,98001,2050,4000
142,328000,4,1.75,1990,7194,1,0,0,4,8,1400,590,1978,98058,1820,7400
143,269000,3,2.25,1470,8682,1,0,0,3,7,1160,310,1985,98003,1670,8359
144,282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,98003,1680,8633
145,545000,3,2,1340,7200,1.5,0,0,4,7,1340,0,1923,98118,1630,5760
146,265000,3,1,960,9748,1,0,0,3,5,960,0,1922,98065,1600,9958
147,738515,5,2.75,3360,9200,2,0,0,3,9,3360,0,2014,98011,3360,9713
148,706000,3,2.75,1900,6400,1,0,0,5,7,1410,490,1942,98105,1350,6400
149,843500,4,2,2630,16475,2,0,0,4,8,2630,0,1953,98004,2670,15001
150,912000,3,2.5,2979,17313,2,0,2,3,11,2979,0,1993,98006,3890,14797
151,397000,4,2,1440,7680,1,0,0,3,7,1200,240,1971,98034,1460,9660
152,425000,2,1,620,4455,1,0,0,3,6,620,0,1927,98117,1180,5000
153,177000,3,1.75,1150,8079,1,0,0,4,7,1150,0,1983,98030,1540,7399
154,355000,2,1.5,1140,2500,1,0,1,3,7,630,510,1988,98106,1500,5000
155,474000,2,1,1050,403365,1,0,3,5,6,1050,0,1905,98022,1760,108900
156,249900,2,2,1470,2541,2,0,0,3,6,1470,0,2005,98038,1310,2721
157,430000,2,1,1050,2570,1,0,0,5,7,850,200,1927,98117,1080,2800
158,285000,2,1,990,2446,2,0,0,3,7,990,0,1998,98144,1260,2805
159,395000,3,1.75,1460,22651,1,0,0,4,7,1460,0,1961,98027,2030,49222
160,575000,3,2.75,1710,3600,1,0,0,3,7,1590,120,1909,98119,1710,3600
161,600000,3,1.75,1620,1325,2.5,0,0,3,9,1430,190,2005,98102,1750,1572
162,776000,2,2,1990,6180,1,0,0,4,7,1010,980,1941,98115,1470,5150
163,525000,2,1,1000,4950,1,0,0,3,7,800,200,1948,98116,1060,5500
164,405000,3,1.75,2020,8531,1,0,0,3,7,2020,0,1965,98011,1950,8449
165,769000,4,2.5,2440,6733,2,0,0,3,9,2440,0,1999,98074,2570,6496
166,217000,3,2.5,1340,4200,2,0,0,3,7,1340,0,2002,98002,990,4520
167,770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,98052,2700,13992
168,459000,5,2.5,2650,12987,1,0,0,4,7,1350,1300,1979,98028,2160,12726
169,288000,3,2.5,1370,9253,1,0,0,3,7,1090,280,1994,98042,1470,9253
170,550000,3,2.25,1850,37264,2,0,0,3,8,1850,0,1981,98053,2390,36036
171,542500,3,2.5,2040,10086,2,0,0,3,8,2040,0,1987,98052,1940,10272
172,461000,2,1,1060,7193,1,0,0,3,7,1060,0,1926,98133,1980,7560
173,400000,3,1,1060,12000,1,0,0,3,7,1060,0,1952,98133,1550,10500
174,511555,3,2,1400,7293,1,0,0,4,7,1400,0,1963,98008,1600,7960
175,457000,2,1.75,2060,7192,1,0,0,3,7,1420,640,1940,98125,1860,7140
176,600000,3,1.75,2040,5000,1.5,0,0,3,7,1780,260,1924,98115,1690,5000
177,160000,2,2,1040,4750,1,0,0,2,6,850,190,1950,98118,1350,5000
178,1200000,5,2.5,2860,4000,2,0,0,4,8,2160,700,1910,98102,1340,1224
179,264500,3,2.5,1630,8346,1,0,0,3,8,1630,0,1990,98092,2110,8619
180,570000,3,2,1890,29185,1,0,0,3,7,1470,420,1949,98006,2580,11600
181,435000,4,2.5,2190,6578,2,0,0,3,7,2190,0,2004,98065,2190,5416
182,900000,3,2.5,2260,9577,2,0,0,3,8,1700,560,1925,98117,1740,10240
183,502000,3,2.25,1600,45613,2,0,0,4,8,1600,0,1983,98072,2320,43005
184,1400000,4,3,3520,128502,2,0,2,4,10,3520,0,1981,98072,3260,79714
185,319000,3,1.5,2010,10100,1,0,0,4,7,1110,900,1964,98168,1900,10100
186,328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,98038,2020,8031
187,592500,2,2,1870,4751,1,0,0,3,8,1870,0,2006,98053,2170,5580
188,1440000,3,3.5,3870,3819,2,0,0,3,11,2760,1110,2002,98102,2530,5500
189,803000,2,1,1440,33747,1.5,0,0,3,7,1440,0,1928,98034,1980,8400
190,770000,3,2.5,2730,11380,2,0,0,3,10,2730,0,1995,98075,2800,10070
191,200000,2,1.75,1320,13052,1.5,0,0,3,7,1320,0,1980,98014,1320,13052
192,310000,2,1,870,5400,1,0,0,3,6,870,0,1950,98126,990,5200
193,235000,3,1,1864,6978,1,0,0,4,7,1864,0,1958,98002,990,8000
194,792500,3,1.5,1960,2400,2,0,0,3,8,1330,630,1911,98119,2090,4000
195,517000,4,1,1180,13500,1.5,0,0,3,7,1180,0,1950,98125,1580,8976
196,525000,3,2.5,2030,6970,2,0,0,4,8,2030,0,1991,98029,2000,6140
197,1270000,4,3.25,3640,3604,2,0,2,5,9,1960,1680,1913,98122,1940,4600
198,850000,3,2.5,3300,11570,2,0,0,3,9,3300,0,1994,98006,3280,11446
199,340000,4,2.5,2170,19785,2,0,0,3,8,2170,0,1992,98031,2280,8616
200,2470000,5,4.75,6390,13180,2,0,0,3,10,4560,1830,1940,98112,4010,8137
201,150000,2,1,850,54000,1.5,0,0,1,4,850,0,1950,98023,1550,14440
202,620000,4,2.25,1890,4300,1.5,0,0,3,7,1350,540,1918,98103,1830,3800
203,265000,4,1,1940,9533,1,0,0,3,7,1080,860,1962,98031,1940,8839
204,575000,4,3.5,3930,16970,2,0,0,3,9,3930,0,1997,98019,2740,17219
205,515000,3,2,1690,5100,1.5,0,0,5,7,1690,0,1907,98117,1690,5100
206,550000,4,1.5,2750,128502,1,0,0,2,7,1500,1250,1958,98055,1470,11514
207,263300,2,1,900,4500,1,0,0,3,7,900,0,1951,98118,1175,5320
208,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,98007,2680,13685
209,425000,2,1,970,2970,1,0,0,3,7,970,0,1910,98102,1670,3000
210,465000,3,2.5,2870,25663,2,0,0,3,10,2870,0,1988,98003,2950,24347
211,358000,3,1.5,2450,12497,1,0,0,4,7,2450,0,1967,98065,1560,11700
212,370000,2,1,2360,105850,1,0,2,2,6,1180,1180,1947,98022,2640,386812
213,1160000,4,2.5,2960,26742,1,0,3,3,8,1480,1480,1949,98115,2500,9460
214,400000,2,2.5,1410,1281,2,0,0,3,8,1090,320,2008,98126,1410,2550
215,2330000,4,3.5,4420,20759,2,0,0,3,11,4420,0,2003,98004,3020,20666
216,845000,3,2,2540,4750,1.5,0,0,5,9,1840,700,1930,98117,2190,4750
217,400000,3,2.25,2140,11266,2,0,0,3,7,2140,0,1986,98019,2000,14174
218,215000,3,1.5,1500,15000,1,0,0,3,7,1500,0,1952,98031,1790,13905
219,285000,3,1,1160,7875,1,0,0,3,7,1160,0,1953,98125,1600,7875
220,241250,3,1.75,1350,7588,1,0,0,3,7,1350,0,1993,98010,1470,7341
221,710000,3,1.75,2430,11448,1,0,1,5,7,1620,810,1949,98117,2140,8144
222,265000,3,1,1000,9150,1,0,0,3,7,1000,0,1969,98059,1490,10647
223,161000,4,2,1700,8043,1,0,0,3,7,850,850,1954,98168,1540,13260
224,432100,3,2.25,1790,2240,2,0,0,4,8,1790,0,1975,98052,1780,2560
225,355000,3,1.5,1240,15867,1,0,0,3,7,1240,0,1962,98034,1570,9600
226,306000,3,2.5,1680,11193,2,0,0,3,8,1680,0,1984,98058,2080,8084
227,255000,2,1.5,920,1598,2,0,0,3,7,920,0,1995,98133,1110,1598
228,262500,3,1,970,7854,1,0,0,4,7,970,0,1980,98056,1480,7800
229,620000,4,2.25,2210,10039,1,0,0,4,8,1710,500,1967,98052,2070,10965
230,172040,3,2.25,1710,7134,1,0,0,4,7,1130,580,1979,98031,1790,7455
231,575000,4,2.25,2060,12155,1,0,0,4,8,2060,0,1968,98008,2360,8625
232,310000,3,1,1480,7830,1,0,0,3,7,1480,0,1952,98133,1450,7830
233,731688,4,3,2630,5772,2,0,0,3,9,2630,0,2006,98052,3460,6158
234,1230000,5,4.5,3732,4426,2.5,0,0,3,10,2932,800,2001,98112,2950,4000
235,305000,4,2,2470,1831,2,0,0,3,7,1970,500,2009,98166,1310,7500
236,420000,3,2.75,2300,8000,1,0,0,3,7,1430,870,1965,98003,2070,10200
237,580000,4,2.25,2570,36465,2,0,0,4,8,2570,0,1980,98053,2390,41454
238,490000,4,2.5,3000,8645,2,0,0,3,8,3000,0,1985,98034,1930,8866
239,267500,3,2.25,1860,12000,1,0,0,4,7,1860,0,1976,98092,1815,9604
240,700000,4,1,1470,5450,1.5,0,0,3,7,1470,0,1918,98112,2160,5450
241,415000,3,2.25,1640,5880,1,0,0,3,7,1240,400,1977,98106,1200,4760
242,454000,3,1,1970,22144,1,0,0,4,7,1970,0,1970,98065,1970,13500
243,720000,5,2.5,2900,9525,2,0,0,3,9,2900,0,1989,98006,2910,11854
244,390000,3,1.75,2200,8036,1,0,0,3,7,1270,930,1978,98011,1850,7563
245,571000,3,2.5,2140,2867,2,0,0,3,8,1960,180,2005,98027,2280,2836
246,929950,3,3.5,3790,10829,2,0,0,3,11,3790,0,1993,98027,3620,10989
247,549950,5,2.5,2650,54380,2,0,0,3,9,2650,0,1984,98077,2560,49044
248,1450000,4,3.25,3770,4103,2,0,0,5,9,2710,1060,1925,98109,2560,4160
249,237000,3,2,1290,7952,1,0,0,3,7,1290,0,1998,98030,1670,7280
250,465425,4,2.75,2430,20720,1,0,0,3,7,2430,0,1967,98072,2580,26950
251,590000,4,2.75,2240,5400,2,0,0,4,7,1540,700,1940,98116,1830,5000
252,450000,3,1.5,2330,11740,1,0,0,3,8,1330,1000,1954,98155,2630,11740
253,350000,2,1.75,1740,6620,1.5,0,0,3,8,1740,0,2002,98065,1560,5400
254,450000,3,2,1680,11250,1,0,0,4,8,1680,0,1967,98045,1760,12160
255,476000,3,2.25,1570,7187,1,0,0,4,8,1170,400,1980,98133,1660,8775
256,566000,3,2.25,1660,10140,1,0,0,4,8,1370,290,1980,98052,2100,10125
257,775000,4,2.5,2880,8400,2,0,4,3,8,2050,830,1955,98177,2880,7440
258,510000,4,1.5,2040,8800,1,0,0,4,7,1020,1020,1961,98007,1490,8800
259,190000,3,1.5,760,40039,1,0,0,3,6,760,0,1906,98065,980,6000
260,580379,4,2.75,2240,27820,1.5,0,0,4,8,2240,0,1976,98075,2330,20000
261,852000,4,2.5,2620,7328,2,0,0,3,8,2620,0,1983,98118,1670,5080
262,566000,3,2.5,2090,6294,2,0,0,3,9,2090,0,2004,98052,2520,5735
263,574000,2,2.25,1100,1114,2,0,0,3,8,900,200,2009,98122,1230,1800
264,397500,4,2.5,2570,7859,2,0,0,3,8,2570,0,1992,98038,2150,7284
265,440000,3,1.75,1530,7245,1,0,0,4,7,1530,0,1984,98034,1530,7490
266,608700,4,2.5,2260,9696,1,0,0,3,9,2260,0,1983,98074,2400,12111
267,617000,3,2.5,1880,5500,2,0,0,4,7,1880,0,1947,98199,1230,5500
268,575700,3,1.75,1730,6130,1,0,0,3,7,1480,250,1941,98115,1730,6131
269,300000,5,2.5,2093,10350,1.5,0,0,5,7,2093,0,1963,98058,1520,10350
270,550000,2,1,950,4080,1,0,0,4,7,950,0,1924,98117,1120,4080
271,980000,4,2.5,2730,4800,1.5,0,0,5,8,2230,500,1909,98119,2190,4200
272,312000,5,4,2900,9779,2,0,0,4,7,1950,950,1937,98168,1360,8000
273,411715,3,1.75,1840,5101,1,0,0,5,7,1040,800,1952,98108,1340,5000
274,265000,5,2.75,2920,5250,1.5,0,0,5,7,1800,1120,1911,98002,1220,5250
275,739000,6,4.5,4000,7500,2,0,0,3,7,4000,0,1978,98122,1380,6298
276,569900,5,3.25,2360,3873,2,0,0,3,8,1990,370,2006,98108,1720,3071
277,635000,3,2.5,2620,6842,2,0,0,3,7,2620,0,2002,98053,2280,4800
278,270000,3,1.5,1430,8960,1,0,0,4,6,1430,0,1953,98166,1560,10125
279,1080000,3,2.75,2770,5800,1,0,0,4,8,1650,1120,1959,98199,2340,5800
280,370000,4,1,1310,6000,1.5,0,0,3,7,1310,0,1940,98144,1630,6000
281,299980,4,1.5,1580,10230,1,0,0,3,6,790,790,1945,98178,1130,6955
282,352450,3,2,1430,6000,1,0,0,5,7,1430,0,1945,98155,1630,6315
283,783200,4,2,1590,5400,1,0,2,3,7,990,600,1900,98119,2190,4800
284,234550,3,1,1990,15375,1,0,0,3,7,1140,850,1946,98168,1160,10236
285,608000,4,2.5,2410,7140,2,0,0,3,8,2410,0,1993,98074,2350,7140
286,415000,3,2.25,1950,8868,1,0,0,3,7,1350,600,1964,98155,1300,8880
287,595000,3,1,1560,3960,1.5,0,0,4,7,1560,0,1907,98144,1280,3960
288,150000,3,0.75,490,38500,1.5,0,0,4,5,490,0,1959,98014,800,18297
289,682000,5,2.75,2760,5000,2,0,0,3,9,2760,0,2005,98059,2870,5030
290,540000,3,1.75,2280,16671,1.5,0,0,4,6,1760,520,1909,98034,1850,9351
291,350000,2,1.5,1070,937,3,0,0,3,8,1070,0,2003,98115,1100,3200
292,619000,4,2,2300,3400,1.5,0,0,5,8,1550,750,1915,98117,1670,4200
293,251000,3,1.75,1220,7250,1,0,0,3,7,1220,0,1962,98045,1700,15251
294,491950,3,2.25,2090,10733,1,0,0,3,7,1440,650,1958,98115,1740,8100
295,450000,2,2,1610,6160,2,0,0,4,8,1610,0,1977,98052,1750,6305
296,698000,2,1,1510,4080,1,0,0,3,7,1010,500,1923,98103,1660,4080
297,415000,5,1.5,1900,10226,1,0,0,3,7,1130,770,1961,98034,1690,10227
298,220000,3,1,1130,12519,1,0,0,3,7,1130,0,1958,98056,1460,12507
299,226000,4,1,1270,6459,1.5,0,0,3,7,1270,0,1918,98118,1300,4100
300,1330000,4,3.25,2470,4760,1.5,0,0,5,9,1890,580,1906,98112,2470,4760
301,320600,3,2,1220,7620,1,0,0,3,6,720,500,1947,98166,1640,7620
302,135000,1,1,790,13062,1,0,0,3,6,790,0,1942,98168,1240,7137
303,510000,3,1.5,1730,6240,1,0,1,3,8,1000,730,1954,98136,1620,6240
304,345000,3,1,960,3844,1,0,0,3,7,960,0,1972,98133,1020,3844
305,434500,3,1.75,1930,7210,1,0,0,3,7,1110,820,1975,98072,1870,7877
306,649000,3,2,1810,17006,2,1,4,3,8,1810,0,1913,98166,2180,24911
307,1020000,3,3.25,3620,4000,2,0,0,3,10,2730,890,2005,98199,1910,5000
308,700000,4,2,1930,5398,1,0,0,3,7,1430,500,1953,98119,1910,4902
309,377000,3,2.5,1870,5333,2,0,0,3,8,1870,0,2012,98019,2100,3730
310,892500,3,1.75,2120,56192,1,0,1,3,9,1720,400,1959,98177,2240,20500
311,616000,3,1.5,1740,9840,1,0,0,4,8,1740,0,1963,98040,1930,9840
312,235000,3,1.75,1950,8712,1,0,0,3,7,1950,0,1960,98055,1820,11520
313,780000,3,2.25,2130,11782,1,0,0,4,8,1590,540,1977,98040,2700,11782
314,200000,3,1,960,213008,1,0,0,2,6,960,0,1933,98024,1520,57499
315,460000,3,2.5,2720,40813,2,0,0,3,8,2720,0,2001,98001,2250,40511
316,855000,4,3,3090,35074,2,0,0,3,9,3090,0,1978,98005,3120,35150
317,566950,3,3,1730,1902,3,0,0,3,8,1730,0,2014,98117,1830,1804
318,750000,4,2.25,3140,12150,2,0,0,3,9,3140,0,1979,98074,2370,12054
