pos,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
40,2895800610,4,2.25,[1697-1897],[2021-3523],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2014,98106,[1403-1653],[2651-2850],[300000-400000)
41,5381000072,5,3,[2099-2299],[9532-10282],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[765-915],2005,98188,[1403-1653],[10451-10850],[300000-400000)
42,2141200030,3,2.5,[1898-2098],[5777-6527],1,0,Very Poor,Excellent,Good Quality And Desgin,[1040-1289],[916-1066],1981,98116,[1905-2155],[6051-6450],[600000-700000)
43,624111000,3,3,[3908-4108],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],[916-1066],1986,98077,[3160-3410],[13651-14050],[900000-1000000)
44,2607720440,3,2.5,[1898-2098],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1994,98045,[1905-2155],[9651-10050],[400000-500000)
45,3905090080,4,2.5,[2501-2701],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1992,98029,[2658-2908],[8051-8450],[600000-700000)
46,1545801340,3,1.75,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1987,98038,[1152-1402],[7651-8050],[200000-300000)
47,2473460860,4,2.5,[2099-2299],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1977,98058,[1905-2155],[8451-8850],[200000-300000)
48,3295610490,4,3.25,[3506-3706],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,1997,98075,[3411-3661],[13651-14050],[900000-1000000)
49,3034200885,2,1,[1295-1495],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1949,98133,[1403-1653],[8851-9250],[200000-300000)
50,2397101075,2,1.5,[1496-1696],[3524-4274],1.5,0,OK,Good,Average Quality And Design,[1290-1539],[161-311],1906,98119,[1905-2155],[3451-3650],[700000-800000)
51,3291800660,3,1.75,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1985,98056,[1905-2155],[7651-8050],[400000-500000)
52,4053200926,4,2.75,[2501-2701],[37541-54862],1,0,Very Poor,Good,Good Quality And Desgin,[2540-2789],NoBasement,1988,98042,[2658-2908],[13651-14050],[300000-400000)
53,1151100070,3,2.5,[1697-1897],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1994,98045,[2407-2657],[13651-14050],[400000-500000)
54,7203100550,3,2.75,[2099-2299],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2008,98053,[2156-2406],[4451-4850],[600000-700000)
55,7905200386,3,1,[893-1093],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1951,98116,[1403-1653],[6451-6850],[400000-500000)
56,518500210,3,2.5,[2903-3103],[3524-4274],3,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2008,98056,[2909-3159],[3851-4050],[800000-900000)
57,7215730410,4,3,[3104-3304],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2001,98075,[2909-3159],[8451-8850],[700000-800000)
58,7202330530,3,2.5,[1496-1696],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,2003,98053,[1403-1653],[3251-3450],[400000-500000)
59,7338401759,2,1,[1295-1495],[4275-5025],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[463-613],1943,98108,[1403-1653],[4851-5250],[200000-300000)
60,11501310,3,3.25,[2903-3103],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[463-613],1994,98052,[2909-3159],[9251-9650],[700000-800000)
61,3326069026,3,1.75,[2300-2500],>=54863,1,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1988,98053,[3160-3410],[13651-14050],[600000-700000)
62,5015001680,4,1,[1697-1897],[4275-5025],1.5,0,Very Poor,Very Poor,Average Quality And Design,[1790-2039],NoBasement,1901,98112,[1654-1904],[3851-4050],[400000-500000)
63,5083100065,3,1,[1094-1294],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1955,98198,[1152-1402],[9251-9650],[200000-300000)
64,170000060,5,3.5,[3707-3907],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],[1218-1368],2014,98107,[1152-1402],[4051-4450],[1200000-1300000)
65,9558020380,4,2.5,[2702-2902],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2002,98058,[2407-2657],[4451-4850],[500000-600000)
66,8820901415,4,2.75,[1094-1294],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[312-462],1987,98125,[901-1151],[7651-8050],[400000-500000)
67,5615100330,4,2,[1898-2098],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1975,98022,[1152-1402],[6451-6850],[200000-300000)
68,3260800190,3,2.5,[1898-2098],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1998,98003,[2156-2406],[7251-7650],[300000-400000)
69,2195700270,3,2.5,[2501-2701],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1988,98072,[2909-3159],[13651-14050],[600000-700000)
70,686800080,4,2.5,[2300-2500],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2003,98004,[2407-2657],[13651-14050],[1000000-1100000)
71,226039316,5,3.5,[3305-3505],[9532-10282],2,0,Excellent,OK,Good Quality And Desgin,[2290-2539],[916-1066],1980,98177,[2909-3159],[13251-13650],[900000-1000000)
72,2581900036,3,1.75,[2099-2299],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1961,98040,[2407-2657],[10851-11250],[700000-800000)
73,5149300100,4,2.25,[2099-2299],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[916-1066],1976,98023,[1905-2155],[13651-14050],[300000-400000)
74,1843130210,3,2.5,[1898-2098],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2005,98042,[2156-2406],[4851-5250],[200000-300000)
75,2924079044,3,3.75,[3707-3907],>=54863,2,0,Very Poor,OK,Good Quality And Desgin,[3790-4039],NoBasement,1977,98027,[2407-2657],[13651-14050],[800000-900000)
76,9310300175,3,1,[1295-1495],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1946,98133,[1905-2155],[12851-13250],[200000-300000)
77,423059184,3,1,[1898-2098],[9532-10282],2,0,Very Poor,Poor,Bad Quality And Design,[1790-2039],NoBasement,1908,98056,[1654-1904],[8051-8450],[100000-200000)
78,705700210,3,2.25,[1496-1696],[6528-7278],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1994,98038,[1905-2155],[7651-8050],[300000-400000)
79,8861700030,3,1.5,[2300-2500],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[765-915],1964,98052,[2156-2406],[10051-10450],[500000-600000)
80,3735901040,3,1,[1295-1495],[4275-5025],1.5,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,1908,98115,[1654-1904],[3851-4050],[300000-400000)
81,3995700220,3,1,[1295-1495],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1948,98155,[1152-1402],[8051-8450],[300000-400000)
82,7338402690,6,2,[1898-2098],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[916-1066],1979,98108,[1905-2155],[4851-5250],[300000-400000)
83,993001330,3,2.25,[1295-1495],[1270-2020],3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2005,98103,[1403-1653],[1251-1450],[400000-500000)
84,8947250060,4,2.5,[1496-1696],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,2006,98001,[1654-1904],[4451-4850],[200000-300000)
85,9407001320,4,2,[893-1093],[10283-11870],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],NoBasement,1978,98045,[1152-1402],[9651-10050],[200000-300000)
86,9412700550,3,2.5,[1898-2098],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],[312-462],1969,98042,[1905-2155],[8851-9250],[200000-300000)
87,5561400220,4,2.5,[3305-3505],[21510-37540],1,0,Very Poor,Excellent,Good Quality And Desgin,[1540-1789],[1520-1670],1993,98027,[2909-3159],[13651-14050],[500000-600000)
88,4036800370,4,2.5,[1295-1495],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1956,98008,[1403-1653],[8451-8850],[400000-500000)
89,142000165,4,2.75,[2501-2701],[5777-6527],2,0,Very Poor,Excellent,Good Quality And Desgin,[1790-2039],[614-764],1949,98116,[1905-2155],[5651-6050],[700000-800000)
90,8032700072,3,1.5,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2008,98103,[1403-1653],[1651-1850],[500000-600000)
91,8899100230,3,1.75,[1496-1696],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1969,98055,[1403-1653],[7251-7650],[300000-400000)
92,1042700290,5,3.25,[3305-3505],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2014,98074,[3160-3410],[5251-5650],[800000-900000)
93,9543000945,3,2.25,[1697-1897],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1997,98001,[1654-1904],[7651-8050],[100000-200000)
94,254000545,4,2.5,[1496-1696],[5026-5776],2,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1924,98146,[1403-1653],[5251-5650],[300000-400000)
95,2224069165,4,3.5,[3104-3304],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2012,98029,[3160-3410],[10451-10850],[800000-900000)
96,880000189,3,2,[1094-1294],[1270-2020],2,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],2003,98106,[1152-1402],[1251-1450],[200000-300000)
97,7582700075,4,3.5,[3908-4108],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],[614-764],2007,98105,[3160-3410],[6051-6450],[1400000-1500000)
98,1795920250,3,2.25,[2099-2299],[7279-8029],2,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1986,98052,[2156-2406],[7651-8050],[600000-700000)
99,8087800020,3,1.5,[1295-1495],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1963,98052,[1403-1653],[8451-8850],[400000-500000)
100,3401700031,2,1.5,[1697-1897],[37541-54862],2,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],NoBasement,1964,98072,[2156-2406],[13651-14050],[600000-700000)
101,3299610260,3,2.5,[3506-3706],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2002,98075,[3411-3661],[10451-10850],[900000-1000000)
102,5101400461,4,2,[1496-1696],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1959,98115,[1152-1402],[4851-5250],[400000-500000)
103,2937300520,4,2.75,[3104-3304],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2014,98052,[3411-3661],[6051-6450],[700000-800000)
104,9526500080,4,2,[1496-1696],[8030-8780],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,2001,98019,[1905-2155],[9251-9650],[300000-400000)
105,9293000170,5,2.5,[3305-3505],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2007,98006,[2658-2908],[4851-5250],[800000-900000)
106,1959701800,3,3.5,>=4511,[5026-5776],2,0,Excellent,Excellent,Good Quality And Desgin,[3040-3289],[1520-1670],1909,98102,[2909-3159],[5251-5650],[2100000-2200000)
107,7625702437,3,2.5,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],<=160,2006,98136,[1152-1402],[851-1050],[300000-400000)
108,5095400760,3,1.75,[1295-1495],[11871-14750],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1993,98059,[1654-1904],[13251-13650],[300000-400000)
109,3523059056,3,2.5,[2501-2701],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[916-1066],1991,98058,[2156-2406],[7251-7650],[300000-400000)
110,2450000165,3,1.5,[1295-1495],[8030-8780],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,1951,98004,[1905-2155],[8051-8450],[600000-700000)
111,7856400410,4,2.25,[3305-3505],[8030-8780],1,0,Excellent,Good,Good Quality And Desgin,[1540-1789],[1520-1670],1973,98006,[3411-3661],[9251-9650],[1100000-1200000)
112,9282801030,5,3,[2702-2902],[5777-6527],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[1218-1368],1979,98178,[2407-2657],[5651-6050],[400000-500000)
113,4442800166,3,3,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2009,98117,[1152-1402],[1451-1650],[500000-600000)
114,7625703435,3,2.25,[2903-3103],[5777-6527],3,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2014,98136,[1654-1904],[6451-6850],[800000-900000)
115,9406520830,3,2.25,[1496-1696],[8030-8780],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1995,98038,[1654-1904],[8451-8850],[300000-400000)
116,3956100050,4,2.5,[2702-2902],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1991,98045,[2407-2657],[13651-14050],[500000-600000)
117,8024202520,2,2,[1094-1294],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],1940,98115,[1654-1904],[6851-7250],[400000-500000)
118,4319200605,3,2.5,[1697-1897],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[463-613],1998,98126,[1403-1653],[8051-8450],[400000-500000)
119,984000650,4,2,[1898-2098],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[614-764],1967,98058,[1905-2155],[8451-8850],[300000-400000)
120,1868901815,4,1,[1697-1897],[2021-3523],1.5,0,Very Poor,Good,Average Quality And Design,[1040-1289],[463-613],1926,98115,[1403-1653],[3451-3650],[500000-600000)
121,871001365,3,1.75,[1697-1897],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[614-764],1952,98199,[1654-1904],[4851-5250],[600000-700000)
122,4167300030,4,1.75,[1697-1897],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[463-613],1977,98023,[1654-1904],[9251-9650],[200000-300000)
123,3298700840,2,1,[692-892],[4275-5025],1,0,Very Poor,OK,Bad Quality And Design,[540-789],NoBasement,1942,98106,[901-1151],[4851-5250],[200000-300000)
124,7215730200,4,2.5,[1898-2098],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2001,98075,[2156-2406],[5251-5650],[600000-700000)
125,1972201550,4,1,[1496-1696],[2021-3523],1.5,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1906,98103,[1152-1402],[3251-3450],[500000-600000)
126,2770600930,3,2.5,[1697-1897],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[463-613],2012,98199,[1654-1904],[1451-1650],[600000-700000)
127,8682281480,2,2,[1697-1897],[4275-5025],1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2006,98053,[2156-2406],[5251-5650],[500000-600000)
128,7853220470,5,3.5,[2903-3103],[7279-8029],2,0,Good,OK,Good Quality And Desgin,[2290-2539],[463-613],2005,98065,[2909-3159],[7651-8050],[600000-700000)
129,7278700070,3,2.5,[2300-2500],[5777-6527],1,0,OK,OK,Good Quality And Desgin,[1540-1789],[765-915],1964,98177,[2156-2406],[10851-11250],[600000-700000)
130,476000110,2,2.25,[1094-1294],<=1269,3,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,2007,98107,[1152-1402],[1251-1450],[400000-500000)
131,5420300240,3,1.75,[1697-1897],[7279-8029],1,0,Very Poor,OK,Bad Quality And Design,[1290-1539],[312-462],1984,98030,[1403-1653],[7251-7650],[200000-300000)
132,8562790150,4,3.25,[2903-3103],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[614-764],2014,98027,[2909-3159],[3251-3450],[700000-800000)
133,5412200270,4,2.5,[1697-1897],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[614-764],1983,98031,[1654-1904],[6051-6450],[200000-300000)
134,2818100255,4,2.5,[2501-2701],[11871-14750],1,0,Excellent,Good,Good Quality And Desgin,[1540-1789],[916-1066],1941,98117,[2407-2657],[8851-9250],[900000-1000000)
135,2770601734,3,1,[1496-1696],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[312-462],1925,98199,[1403-1653],[1451-1650],[500000-600000)
136,9476010120,5,2.75,[2702-2902],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2008,98075,[2658-2908],[6051-6450],[600000-700000)
137,4154300505,2,1,[692-892],[6528-7278],1,0,Very Poor,Poor,Bad Quality And Design,[540-789],NoBasement,1935,98118,[1654-1904],[6851-7250],[300000-400000)
138,6840700036,2,1,[692-892],[2021-3523],1,0,Very Poor,OK,Average Quality And Design,[540-789],NoBasement,1918,98122,[901-1151],[4451-4850],[400000-500000)
139,7849202190,0,0,[1295-1495],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1996,98065,[901-1151],[6851-7250],[200000-300000)
140,1862000010,4,2.5,[3305-3505],[21510-37540],2,0,Very Poor,Good,Very High Quality and Design,[3290-3539],NoBasement,1988,98052,[2658-2908],[9651-10050],[900000-1000000)
141,6072300110,3,1.75,[1898-2098],[8030-8780],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[614-764],1963,98006,[2156-2406],[8451-8850],[500000-600000)
142,1077100020,3,1.5,[1496-1696],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1954,98133,[1403-1653],[8851-9250],[300000-400000)
143,1568100225,2,1.5,[893-1093],[8030-8780],1,0,Very Poor,Excellent,Bad Quality And Design,[1040-1289],NoBasement,1953,98155,[1152-1402],[8451-8850],[300000-400000)
144,1214000080,3,1,[1697-1897],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[463-613],1956,98166,[1654-1904],[7251-7650],[300000-400000)
145,3316500200,4,2,[1496-1696],[21510-37540],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1967,98008,[1905-2155],[13651-14050],[600000-700000)
146,9407100800,3,1,[1094-1294],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1979,98045,[1152-1402],[10051-10450],[200000-300000)
147,2868900160,3,1,[893-1093],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1972,98042,[1152-1402],[10051-10450],[200000-300000)
148,9831200221,3,2.5,[1295-1495],[1270-2020],2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],<=160,2003,98102,[1403-1653],[1251-1450],[600000-700000)
149,98030530,4,3.25,[3305-3505],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2006,98075,[3411-3661],[6851-7250],[700000-800000)
150,1328330780,3,1,[893-1093],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1980,98058,[1403-1653],[8851-9250],[300000-400000)
151,3834000805,4,1,[1094-1294],[8030-8780],1.5,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1959,98125,[1152-1402],[8051-8450],[300000-400000)
152,8129700255,2,2.25,[2099-2299],[2021-3523],3,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2005,98103,[1654-1904],[2051-2250],[700000-800000)
153,3972900215,2,1,[1094-1294],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1942,98155,[1152-1402],[7251-7650],[300000-400000)
